,het
EA18-0001,0.013007242435265782
EA18-0003,0.012834102633900713
EA18-0004,0.013289037635099336
EA18-0008,0.012920442819153081
EA18-0012,0.012926645135767563
EA18-0015,0.014745105297451128
EA18-0022,0.013165221018239897
EA18-0023,0.012902557832090163
EA18-0026,0.012721968687489715
EA18-0027,0.013030017079342232
EA18-0029,0.012877453217222029
EA18-0032,0.01262637425205066
EA18-0033,0.012834037000920666
EA18-0034,0.013001565182491681
EA18-0038,0.012936621348734769
EA18-0039,0.01291883481114192
EA18-0043,0.012961627514132832
EA18-0046,0.012901343621959285
EA18-0047,0.012554079524528439
EA18-0049,0.012960708652412167
EA18-0051,0.013028376254841047
EA18-0057,0.013100375633953056
EA18-0059,0.012814018942006207
EA18-0062,0.012984927222049662
EA18-0064,0.012658534412273893
EA18-0066,0.012985714817810232
EA18-0067,0.01293885287005638
EA18-0068,0.013964335366807138
EA18-0069,0.012695420147060536
EA18-0070,0.01331821149473041
EA18-0071,0.013270496318235942
EA18-0072,0.013107562445268247
EA18-0073,0.012649378611557278
EA18-0075,0.0127147490596845
EA18-0076,0.013058304893742666
EA18-0077,0.012758657523336216
EA18-0078,0.012985452285890042
EA18-0083,0.013031198472983086
EA18-0084,0.013162628515528024
EA18-0085,0.012864917318032973
EA18-0086,0.012788618978727859
EA18-0087,0.013074581872794424
EA18-0088,0.013045112664753137
EA18-0089,0.01294813993673309
EA18-0090,0.0126665744523297
EA18-0091,0.01284532587348882
EA18-0092,0.012897438459646464
EA18-0093,0.013324774792735151
EA18-0094,0.012874270017689728
EA18-0095,0.012913223191347866
EA18-0096,0.01294672882766207
EA18-0098,0.012736867373960476
EA18-0099,0.012856056865726573
EA18-0100,0.013245457336347856
EA18-0102,0.013084033021921251
EA18-0104,0.013454957808659188
EA18-0106,0.012783630872244255
EA18-0109,0.012828130032716399
EA18-0112,0.012996445810047982
EA18-0114,0.012938951319526451
EA18-0115,0.012945088003160885
EA18-0116,0.01248250675978674
EA18-0117,0.012705068195127506
EA18-0118,0.012747303017788014
EA18-0119,0.012805880452480328
EA18-0120,0.012893894278723905
EA18-0121,0.013051183715407522
EA18-0122,0.012959067827910982
EA18-0123,0.012617284084314095
EA18-0124,0.01294265958289913
EA18-0125,0.012952176365006004
EA18-0126,0.012867345738294728
EA18-0127,0.012978593639475088
EA18-0128,0.012961693147112879
EA18-0129,0.012763186198959487
EA18-0130,0.012936260367344507
EA18-0131,0.012874270017689728
EA18-0132,0.012771127789545225
EA18-0133,0.012777001941259468
EA18-0134,0.012937179229065171
EA18-0135,0.013788471796770103
EA18-0136,0.012927728079938344
EA18-0137,0.0130536449521593
EA18-0139,0.012638614802829504
EA18-0140,0.012885394807807765
EA18-0141,0.012719113652857652
EA18-0142,0.012776739409339278
EA18-0143,0.012970225434519042
EA18-0144,0.012998414799449406
EA18-0145,0.013164695954399518
EA18-0146,0.01299880859732969
EA18-0147,0.013151930339780297
EA18-0148,0.012864457887172642
EA18-0149,0.012711729942602319
EA18-0150,0.012859830762079298
EA18-0151,0.012598020804670181
EA18-0152,0.012722985998680448
EA18-0153,0.012667001066700009
EA18-0154,0.012920016204782774
EA18-0155,0.012751240996590859
EA18-0156,0.013024996156368606
EA18-0157,0.012994608086606655
EA18-0158,0.01280696339665111
EA18-0159,0.012083031626728177
EA18-0160,0.01289156430793222
EA18-0161,0.012739000445812018
EA18-0163,0.01270191781208523
EA18-0164,0.012810212229163457
EA18-0165,0.01269748758593203
EA18-0166,0.01266736204809027
EA18-0167,0.013002484044212344
EA18-0168,0.012352094028432535
EA18-0169,0.01279288512243094
EA18-0170,0.012789669106408618
EA18-0171,0.012825668795964622
EA18-0172,0.012971866259020227
EA18-0173,0.012648656648776757
EA18-0174,0.0129953628658772
EA18-0175,0.012699916006193784
EA18-0176,0.01276948696504404
EA18-0177,0.01274727020129799
EA18-0178,0.012602057232943095
EA18-0179,0.012938984136016475
EA18-0180,0.01314195412681309
EA18-0182,0.012658337513333751
EA18-0183,0.013049313175476172
EA18-0184,0.012992901629125423
EA18-0186,0.013052299476068329
EA18-0187,0.013003402905933008
EA18-0189,0.013262357828710065
EA18-0190,0.01309066195290604
EA18-0192,0.013109203269769432
EA18-0193,0.013279028605642106
EA18-0194,0.013468379753078885
EA18-0195,0.015884493831074164
EA18-0197,0.012566943588617732
EA18-0198,0.013173818938626108
EA18-0200,0.013473236593602392
EA18-0201,0.013072186269022694
EA18-0202,0.012923724468155453
EA18-0203,0.014095863858822147
EA18-0204,0.014198054408755965
EA18-0206,0.012834397982310928
EA18-0213,0.012846671349579793
EA18-0214,0.012208062453718494
EA18-0215,0.012585452088991101
EA18-0216,0.013056893784671647
EA18-0217,0.012926152888417206
EA18-0218,0.013017513996643202
EA18-0219,0.01303008271232228
EA18-0220,0.014396626989889404
EA18-0222,0.012769519781534063
EA18-0223,0.012886116770588287
EA18-0224,0.012959888240161576
EA18-0225,0.012776739409339278
EA18-0227,0.012688692766605678
EA18-0229,0.012956114343808849
EA18-0230,0.0131524882201107
EA18-0233,0.013585304907033345
EA18-0234,0.015481769865503257
EA18-0235,0.012666443186369605
EA18-0236,0.012924577696896068
EA18-0237,0.013399366674559033
EA18-0239,0.01302575093563915
EA18-0240,0.012684426622902596
EA18-0241,0.012868494315445556
EA18-0242,0.012812246851544926
EA18-0243,0.012890514180251464
EA18-0244,0.012823470091133033
EA18-0245,0.012623584850398646
EA18-0246,0.012929795518809838
EA18-0247,0.013406750384814366
EA18-0249,0.012831116333308556
EA18-0250,0.013048558396205626
EA18-0251,0.012818941415509762
EA18-0252,0.012851232841693087
EA18-0253,0.012784352835024777
EA18-0255,0.013066246484328404
EA18-0257,0.013092860657737628
EA18-0258,0.012957886434270129
EA18-0259,0.013110647195330475
EA18-0260,0.01296038048751193
EA18-0261,0.012843159985147257
EA18-0262,0.0130074065177159
EA18-0263,0.01283600599032209
EA18-0264,0.012809490266382935
EA18-0266,0.01288047233430421
EA18-0268,0.016416678849788587
EA18-0271,0.012823371641662962
EA18-0272,0.012939246667936664
EA18-0273,0.012733027844627702
EA18-0274,0.012392950558512047
EA18-0275,0.012544004862091162
EA18-0276,0.012884443129597077
EA18-0277,0.012936260367344507
EA18-0278,0.012938459072176096
EA18-0279,0.012922214909614363
EA18-0280,0.013154424393022099
EA18-0281,0.012929007923049268
EA18-0283,0.013082359380930043
EA18-0284,0.012803977096058954
EA18-0285,0.012814904987236846
EA18-0286,0.012927728079938344
EA18-0287,0.013053251154279017
EA18-0289,0.013001991796861989
EA18-0294,0.012896814946336014
EA18-0295,0.012989094916282673
EA18-0296,0.013014888677441305
EA18-0297,0.01317188276571471
EA18-0298,0.012884279047146958
EA18-0299,0.012867148839354584
EA18-0300,0.013112386469301733
EA18-0301,0.012848870054411382
EA18-0302,0.013150125432828993
EA18-0303,0.01289960434798803
EA18-0304,0.012933077167812208
EA18-0305,0.013092598125817438
EA18-0307,0.01274096943521344
EA18-0308,0.012900523209708694
EA18-0309,0.013035595882646262
EA18-0310,0.013011574211948911
EA18-0311,0.013195937252902086
EA18-0312,0.012991293621114262
EA18-0313,0.013010917882148436
EA18-0314,0.012982334719337789
EA18-0316,0.012839123556874341
EA18-0317,0.012907874103474003
EA18-0318,0.012839812703164838
EA18-0319,0.01301022873585794
EA18-0320,0.01294531771859105
EA18-0322,0.012950240192094606
EA18-0324,0.013046786305744346
EA18-0325,0.012874270017689728
EA18-0326,0.013093385721578006
EA18-0327,0.013050724284547191
EA18-0328,0.013044423518462639
EA18-0330,0.01907924476786189
EA18-0331,0.01308065292344881
EA18-0332,0.012973375817561318
EA18-0333,0.012865868996243661
EA18-0334,0.012844472644748205
EA18-0335,0.013044653233892806
EA18-0336,0.012846343184679556
EA18-0337,0.01285267676725413
EA18-0338,0.01317870859563964
EA18-0339,0.012990276309923526
EA18-0340,0.012982006554437552
EA18-0341,0.012920180287232892
EA18-0342,0.013049871055806574
EA18-0343,0.012727055243443388
EA18-0344,0.012865868996243661
EA18-0345,0.012648656648776757
EA18-0347,0.012826259492785048
EA18-0348,0.012942954931309343
EA18-0349,0.012914437401478743
EA18-0350,0.013042323263101122
EA18-0351,0.012735653163829599
EA18-0352,0.013003074741032771
EA18-0353,0.012751044097650717
EA18-0354,0.012913584172738128
EA18-0355,0.012873219890008971
EA18-0356,0.012994148655746324
EA18-0357,0.01289678212984599
EA18-0358,0.012794854111832362
EA18-0359,0.012822321513982203
EA18-0361,0.013097651865281088
EA18-0362,0.012655974726052044
EA18-0363,0.013014494879561021
EA18-0364,0.012234873526067861
EA18-0365,0.012900982640569025
EA18-0366,0.013034381672515385
EA18-0367,0.012829869306687657
EA18-0368,0.012870430488356956
EA18-0369,0.013066705915188735
EA18-0370,0.012888217025949803
EA18-0371,0.013120885940217871
EA18-0372,0.013011344496518744
EA18-0373,0.012406897566772122
EA18-0374,0.012937802742375621
EA18-0376,0.012901967135269737
EA18-0378,0.013561414502296087
EA18-0379,0.01265860004525394
EA18-0380,0.01265161013287889
EA18-0381,0.012932256755561616
EA18-0382,0.013026341632459578
EA18-0383,0.012849001320371476
EA18-0384,0.012935439955093915
EA18-0385,0.013051479063817735
EA18-0386,0.013059650369833638
EA18-0387,0.013219827657639342
EA18-0388,0.013260585738248783
EA18-0389,0.013170799821543927
EA18-0390,0.013154851007392407
EA18-0392,0.013796052405965578
EA18-0393,0.013198956369984267
EA18-0394,0.013043045225881643
EA18-0395,0.012956508141689133
EA18-0396,0.012906955241753339
EA18-0397,0.013133224940466785
EA18-0398,0.013463752627985541
EA18-0399,0.01289668368037592
EA18-0401,0.013436318042325724
EA18-0402,0.012668051194380766
EA18-0403,0.013152521036600723
EA18-0404,0.013015249658831565
EA18-0405,0.01294531771859105
EA18-0406,0.013458764521501939
EA18-0407,0.013101688293554004
EA18-0408,0.012915750061079692
EA18-0410,0.0132063400802396
EA18-0411,0.013125414615841144
EA18-0412,0.012994804985546797
EA18-0414,0.013007143985795711
EA18-0415,0.013054662263350036
EA18-0416,0.01325248006521293
EA18-0417,0.013401368480450478
EA18-0418,0.013104379245735948
EA18-0420,0.013254842852494635
EA18-0421,0.01309712680144071
EA18-0422,0.012536916500246041
EA18-0423,0.013106216969177275
EA18-0424,0.012954571968777735
EA18-0425,0.0131537352467316
EA18-0426,0.012906922425263315
EA18-0427,0.013182088694112082
EA18-0428,0.01318340135371303
EA18-0429,0.013143037070983873
EA18-0430,0.013009736488507583
EA18-0431,0.013326021819356052
EA18-0432,0.013091449548666608
EA18-0433,0.013104674594146161
EA18-0434,0.01327843790882168
EA18-0435,0.012918309747301541
EA18-0436,0.013043078042371668
EA18-0437,0.01277568928165852
EA18-0438,0.013019745517964813
EA18-0440,0.012704444681817056
EA18-0441,0.012977773227224494
EA18-0442,0.013106676400037608
EA18-0443,0.013041929465220838
EA18-0444,0.013126596009481996
EA18-0445,0.012902131217719855
EA18-0446,0.012761217209558065
EA18-0447,0.013120032711477256
EA18-0449,0.013262981342020514
EA18-0450,0.013029229483581664
EA18-0451,0.012913846704658317
EA18-0452,0.012946630378192
EA18-0453,0.013242733567675889
EA18-0454,0.01277729728966968
EA18-0456,0.013080291942058548
EA18-0457,0.013326645332666502
EA18-0458,0.012927367098548083
EA18-0459,0.013007012719835615
EA18-0460,0.013121345371078204
EA18-0461,0.013209490463281875
EA18-0462,0.013217628952807755
EA18-0463,0.013171324885384306
EA18-0464,0.012959592891751363
EA18-0465,0.01281910549795988
EA18-0466,0.013230853998287308
EA18-0467,0.013083442325100825
EA18-0468,0.013088496064564475
EA18-0469,0.012938754420586309
EA18-0470,0.012970750498359421
EA18-0471,0.012917554968030995
EA18-0472,0.013199186085414432
EA18-0473,0.013034283223045314
EA18-0474,0.012943611261109817
EA18-0475,0.013042881143431525
EA18-0476,0.012993361059985754
EA18-0477,0.013122658030679153
EA18-0478,0.01292963143635972
EA18-0479,0.013140641467212142
EA18-0480,0.013037072624697329
EA18-0481,0.012978757721925206
EA18-0482,0.013326940681076715
EA18-0483,0.012966812519556578
EA18-0484,0.013083737673511038
EA18-0485,0.013229081907826028
EA18-0486,0.013439107443977739
EA18-0487,0.013343119210658403
EA18-0488,0.014057337299534317
EA18-0489,0.012912435595587298
EA18-0490,0.012807685359431631
EA18-0491,0.0130720550030626
EA18-0492,0.013170767005053903
EA18-0493,0.012814117391476278
EA18-0494,0.01330731642004254
EA18-0495,0.012742872791634814
EA18-0496,0.013099456772232393
EA18-0497,0.013250740791241673
EA18-0498,0.013211361003213226
EA18-0499,0.013006290757055094
EA18-0500,0.013073433295643595
EA18-0501,0.013146351536476267
EA18-0502,0.013103591649975379
EA18-0503,0.012806044534930446
EA18-0504,0.0130447844998529
EA18-0505,0.013268592961814568
EA18-0506,0.013014494879561021
EA18-0507,0.012915093731279218
EA18-0508,0.013078454218617221
EA18-0509,0.012983056682118311
EA18-0510,0.013030279611262423
EA18-0511,0.012977609144774376
EA18-0512,0.013425882398498186
EA18-0513,0.013016102887572182
EA18-0514,0.013008325379436563
EA18-0515,0.013076091431335514
EA18-0516,0.012906528627383031
EA18-0517,0.012936227550854483
EA18-0518,0.013194854308731303
EA18-0520,0.012929467353909601
EA18-0521,0.012915421896179455
EA18-0522,0.013066640282208688
EA18-0523,0.0128313132322487
EA18-0524,0.012995231599917105
EA18-0525,0.013278011294451372
EA18-0526,0.012852282969373846
EA18-0527,0.013065557338037905
EA18-0528,0.013090169705555684
EA18-0529,0.01306470410929729
EA18-0531,0.01304061680561989
EA18-0532,0.012750847198710575
EA18-0533,0.013101983641964217
EA18-0534,0.013195084024161469
EA18-0535,0.013220090189559532
EA18-0536,0.01325763225414665
EA18-0537,0.01324142090807494
EA18-0538,0.013107726527718366
EA18-0539,0.012534553712964336
EA18-0540,0.013119868629027137
EA18-0542,0.013071464306242172
EA18-0543,0.013505429570315646
EA18-0544,0.012821041670871279
EA18-0545,0.013013215036450096
EA18-0546,0.012756524451484676
EA18-0547,0.01298827450403208
EA18-0548,0.012710482915981418
EA18-0549,0.013100441266933103
EA18-0550,0.01317870859563964
EA18-0551,0.013183138821792841
EA18-0552,0.013017743712073367
EA18-0553,0.013259207445667788
EA18-0554,0.01310129449567372
EA18-0555,0.012780316406751861
EA18-0556,0.01290679115930322
EA18-0557,0.013308924428053702
EA18-0558,0.013172965709885492
EA18-0559,0.013297405840055381
EA18-0560,0.012859469780689038
EA18-0561,0.013080456024508667
EA18-0562,0.013210901572352895
EA18-0563,0.013147467297137073
EA18-0564,0.013116619796514791
EA18-0565,0.01300996620393775
EA18-0566,0.013297340207075334
EA18-0567,0.013098505094021705
EA18-0568,0.012962808907773685
EA18-0569,0.01306506509068755
EA18-0570,0.013035694332116333
EA18-0571,0.013052857356398731
EA18-0572,0.013480784386307844
EA18-0573,0.012954932950167995
EA18-0575,0.012937179229065171
EA18-0576,0.012728564801984478
