sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	sample_set	release	aim_species_fraction_arab	aim_species_fraction_colu	aim_species_fraction_colu_no2l	aim_species_gambcolu_arabiensis	aim_species_gambiae_coluzzii	aim_species	country_iso	admin1_name	admin1_iso	admin2_name	taxon	cohort_admin1_year	cohort_admin1_month	cohort_admin1_quarter	cohort_admin2_year	cohort_admin2_month	cohort_admin2_quarter
VBS54893-6781STDY12150017	EA18-0001	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.993	0.456	0.45	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54894-6781STDY12150018	EA18-0003	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.997	0.457	0.454	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54895-6781STDY12150019	EA18-0004	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.994	0.455	0.451	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54898-6781STDY12150021	EA18-0008	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.995	0.455	0.45	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54901-6781STDY12150024	EA18-0012	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.994	0.458	0.454	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54904-6781STDY12150027	EA18-0015	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.994	0.459	0.454	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54911-6781STDY12150033	EA18-0022	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.996	0.454	0.449	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54912-6781STDY12150034	EA18-0023	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.994	0.452	0.446	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54913-6781STDY12150035	EA18-0026	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.997	0.46	0.456	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54914-6781STDY12150036	EA18-0027	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.996	0.455	0.45	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54915-6781STDY12150037	EA18-0029	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.993	0.456	0.453	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
VBS54917-6781STDY12150038	EA18-0032	Martin Donnelly; David Weetman	Tanzania	Moshi	2018	7	-3.384	37.349	F	1246-VO-TZ-KABULA-VMF00185	3.7	0.995	0.457	0.452	arabiensis		arabiensis	TZA	Kilimanjaro	TZ-09	Moshi Urban	arabiensis	TZ-09_arab_2018	TZ-09_arab_2018_07	TZ-09_arab_2018_Q3	TZ-09_Moshi-Urban_arab_2018	TZ-09_Moshi-Urban_arab_2018_07	TZ-09_Moshi-Urban_arab_2018_Q3
