derived_sample_id	mean_cov	median_cov	modal_cov	mean_cov_2L	median_cov_2L	mode_cov_2L	mean_cov_2R	median_cov_2R	mode_cov_2R	mean_cov_3L	median_cov_3L	mode_cov_3L	mean_cov_3R	median_cov_3R	mode_cov_3R	mean_cov_X	median_cov_X	mode_cov_X	frac_gen_cov	divergence	pc_contam	LLR
VBS54893-6781STDY12150017	24.3	24	24	24.48	24	24	24.83	25	25	23.74	24	24	23.96	24	24	24.29	23	23	0.899	0.03006	0.367	286.194
VBS54894-6781STDY12150018	35.88	36	37	36.35	37	37	36.67	37	38	35.1	36	37	35.55	36	37	34.83	34	36	0.902	0.03005	0.191	193.663
VBS54895-6781STDY12150019	18.65	18	18	18.74	18	18	19.04	19	19	18.11	18	18	18.35	18	18	19.06	17	18	0.893	0.03002	0.118	41.638
VBS54898-6781STDY12150021	25.87	26	26	26.04	26	26	26.37	26	27	25.28	25	26	25.63	26	26	25.72	24	25	0.898	0.02996	0.306	261.202
VBS54901-6781STDY12150024	31.4	32	32	31.72	32	32	31.92	32	33	30.85	31	32	31.26	32	32	30.6	29	31	0.901	0.0301	0.231	209.135
VBS54903-6781STDY12150026	9.44	9	8	9.41	9	8	9.67	9	9	9.1	8	8	9.2	9	8	10.16	8	8	0.878	0.03004	0.625	370.57
VBS54904-6781STDY12150027	10.99	10	10	11.02	10	10	11.09	10	10	10.81	10	10	10.87	10	10	11.35	10	9	0.883	0.03036	0.609	335.054
VBS54909-6781STDY12150031	11.01	2	2	11.0	2	2	11.21	2	2	10.42	2	2	9.98	2	2	13.37	2	2	0.14	0.02539	0.676	483.564
VBS54911-6781STDY12150033	30.75	31	32	31.05	31	32	31.35	32	32	30.15	31	31	30.52	31	31	30.05	29	30	0.902	0.02999	0.763	1503.22
VBS54912-6781STDY12150034	38.67	39	40	39.08	39	40	39.51	40	41	37.83	39	40	38.3	39	40	37.76	37	39	0.904	0.03008	0.207	233.469
VBS54913-6781STDY12150035	37.13	38	39	37.6	38	39	37.82	38	39	36.55	37	38	36.91	38	38	35.63	35	37	0.903	0.0301	0.237	274.131
VBS54914-6781STDY12150036	24.01	24	24	24.17	24	24	24.58	24	25	23.34	23	23	23.69	23	24	24.03	22	23	0.897	0.02993	0.391	337.194
VBS54915-6781STDY12150037	39.31	40	41	39.65	40	41	40.04	41	41	38.61	39	40	39.16	40	40	38.06	37	39	0.904	0.03012	0.218	245.733
VBS54917-6781STDY12150038	34.74	35	36	35.09	35	36	35.51	36	37	34.09	35	35	34.37	35	36	33.78	33	34	0.902	0.03006	0.2	196.39
VBS54918-6781STDY12150039	39.06	40	40	39.37	40	40	40.02	41	41	38.0	39	40	38.71	39	40	38.42	38	39	0.903	0.03007	0.274	350.556
VBS54919-6781STDY12150040	22.82	23	23	23.0	23	23	23.33	23	23	22.27	22	23	22.49	22	23	22.82	21	22	0.898	0.03001	0.446	392.802
VBS54923-6781STDY12150043	30.81	31	31	31.02	31	31	31.86	32	32	29.7	30	30	30.05	30	31	31.35	30	30	0.9	0.03009	0.181	129.129
VBS54924-6781STDY12150044	31.48	31	32	31.67	32	32	32.07	32	32	30.89	31	32	31.21	31	32	31.11	30	31	0.9	0.03	0.15	101.625
VBS54927-6781STDY12150046	39.16	40	41	39.54	40	41	40.01	41	42	38.22	39	40	38.95	40	40	38.12	37	40	0.904	0.03009	0.186	186.33
VBS54930-6781STDY12150049	45.38	46	46	45.87	46	46	46.09	46	47	44.88	45	46	45.0	45	46	44.02	43	44	0.905	0.03025	0.18	196.385
VBS54931-6781STDY12150050	39.92	40	41	40.38	41	41	40.81	41	42	38.98	40	41	39.58	40	41	38.82	38	40	0.904	0.03013	0.167	164.945
VBS54932-6781STDY12150051	34.35	35	35	34.66	35	35	35.07	35	36	33.45	34	35	34.17	34	35	33.68	33	34	0.903	0.03006	0.242	262.832
VBS54934-6781STDY12150053	33.43	34	34	33.65	34	34	34.05	34	35	32.76	33	34	33.24	34	34	32.79	32	33	0.902	0.03006	0.159	137.319
VBS54937-6781STDY12150056	29.95	30	31	30.25	30	31	30.48	31	31	29.41	30	31	29.8	30	31	29.07	28	30	0.901	0.03011	0.216	158.434
VBS54938-6781STDY12150057	7.08	2	2	6.99	2	2	7.14	2	2	6.56	2	2	6.61	2	2	9.18	2	2	0.261	0.0267	0.946	794.361
VBS54939-6781STDY12150058	37.79	38	39	38.18	38	39	38.4	39	40	37.13	38	39	37.8	38	39	36.24	36	38	0.903	0.03007	0.326	440.892
VBS54941-6781STDY12150060	2.36	2	2	2.29	2	2	2.29	2	2	2.24	2	2	2.24	2	2	3.24	2	2	0.327	0.02644		
VBS54942-6781STDY12150061	39.0	40	41	39.45	40	41	39.66	40	41	38.48	40	41	38.9	40	41	37.18	37	39	0.903	0.0301	0.305	389.389
VBS54943-6781STDY12150062	9.45	9	8	9.43	9	8	9.55	9	8	9.25	9	8	9.31	9	8	9.94	8	8	0.879	0.03051	1.068	825.787
VBS54944-6781STDY12150063	35.39	36	37	35.75	36	36	36.19	37	37	34.75	36	36	35.05	36	37	34.25	33	36	0.903	0.03012	0.496	763.257
VBS54945-6781STDY12150064	35.21	35	36	35.48	36	36	35.96	36	37	34.48	35	36	35.04	35	36	34.18	33	35	0.903	0.03006	0.43	649.754
VBS54946-6781STDY12150065	32.6	33	33	32.83	33	33	33.21	33	34	31.92	32	33	32.44	33	33	31.96	31	33	0.902	0.03005	0.376	494.981
VBS54947-6781STDY12150066	13.66	13	13	13.66	13	13	13.91	13	13	13.27	13	13	13.46	13	13	14.17	12	12	0.887	0.03036	0.864	652.858
VBS54948-6781STDY12150067	43.51	44	45	44.09	45	45	44.31	45	46	42.91	44	45	43.12	44	45	41.89	41	43	0.905	0.03026	0.286	351.707
VBS54949-6781STDY12150068	21.47	21	21	21.58	21	21	22.09	22	22	20.73	20	21	21.0	21	21	22.05	20	20	0.894	0.03004	0.531	408.87
VBS54950-6781STDY12150069	23.84	23	23	23.88	23	23	24.56	24	24	22.91	23	22	23.31	23	23	24.78	23	23	0.895	0.02999	0.273	194.487
VBS54951-6781STDY12150070	38.22	39	40	38.6	39	40	38.97	40	40	37.62	38	39	38.04	39	40	36.66	36	38	0.904	0.03009	0.249	283.381
VBS54952-6781STDY12150071	41.62	42	43	42.12	43	43	42.59	43	44	40.77	42	43	41.37	42	43	39.89	40	42	0.903	0.03011	0.263	347.353
VBS54953-6781STDY12150072	37.85	38	39	38.27	39	40	38.85	39	40	37.02	38	39	37.5	38	39	36.34	36	38	0.903	0.03017	0.277	297.759
VBS54954-6781STDY12150073	29.7	30	30	29.99	30	30	30.38	30	31	28.85	29	30	29.38	30	30	29.49	28	29	0.9	0.03005	0.259	234.198
VBS54955-6781STDY12150074	41.79	43	44	42.3	43	44	42.53	43	44	41.22	42	44	41.74	43	44	39.64	39	42	0.904	0.03012	0.228	272.198
VBS54956-6781STDY12150075	39.39	39	40	39.77	39	40	40.6	41	41	38.04	38	38	38.65	39	39	39.48	38	39	0.901	0.03012	0.183	193.395
VBS54958-6781STDY12150076	3.98	2	2	2.14	2	2	4.78	2	2	2.44	2	2	2.03	2	2	6.95	2	2	0.027	0.02622		
VBS54959-6781STDY12150077	4.49	4	3	4.43	4	3	4.53	4	3	4.31	4	3	4.36	4	3	5.22	4	3	0.826	0.02892	3.878	2310.333
