sample.name	location	species	insecticide	sib.group.id	keep
EA18-0099	Moshi	arabiensis	Delta	1	TRUE
EA18-0152	Moshi	arabiensis	Delta	1	FALSE
EA18-0125	Moshi	arabiensis	Delta	2	TRUE
EA18-0298	Moshi	arabiensis	PM	2	TRUE
EA18-0393	Muleba	arabiensis	Delta	3	FALSE
EA18-0497	Muleba	arabiensis	Delta	3	TRUE
EA18-0404	Muleba	arabiensis	Delta	4	FALSE
EA18-0462	Muleba	arabiensis	Delta	4	TRUE
EA18-0411	Muleba	arabiensis	Delta	5	TRUE
EA18-0452	Muleba	arabiensis	Delta	5	FALSE
EA18-0421	Muleba	arabiensis	Delta	6	TRUE
EA18-0571	Muleba	arabiensis	Delta	6	FALSE
EA18-0423	Muleba	arabiensis	Delta	7	FALSE
EA18-0539	Muleba	arabiensis	Delta	7	FALSE
EA18-0552	Muleba	arabiensis	Delta	7	TRUE
EA18-0435	Muleba	arabiensis	Delta	8	TRUE
EA18-0478	Muleba	arabiensis	Delta	8	FALSE
EA18-0440	Muleba	arabiensis	Delta	9	FALSE
EA18-0554	Muleba	arabiensis	Delta	9	TRUE
EA18-0468	Muleba	arabiensis	Delta	10	FALSE
EA18-0484	Muleba	arabiensis	Delta	10	TRUE
EA18-0488	Muleba	arabiensis	Delta	10	FALSE
EA18-0473	Muleba	arabiensis	Delta	11	TRUE
EA18-0489	Muleba	arabiensis	Delta	11	FALSE
EA18-0474	Muleba	arabiensis	Delta	12	TRUE
EA18-0511	Muleba	arabiensis	Delta	12	FALSE
EA18-0486	Muleba	arabiensis	Delta	13	TRUE
EA18-0527	Muleba	arabiensis	Delta	13	FALSE
EA18-0490	Muleba	arabiensis	Delta	14	TRUE
EA18-0502	Muleba	arabiensis	Delta	14	FALSE
EA18-0514	Muleba	arabiensis	Delta	15	FALSE
EA18-0548	Muleba	arabiensis	Delta	15	TRUE
EA18-0516	Muleba	arabiensis	Delta	16	FALSE
EA18-0534	Muleba	arabiensis	Delta	16	TRUE
EA18-0522	Muleba	arabiensis	Delta	17	TRUE
EA18-0562	Muleba	arabiensis	Delta	17	FALSE
EA18-0526	Muleba	arabiensis	Delta	18	TRUE
EA18-0560	Muleba	arabiensis	Delta	18	FALSE
