sample_id	run_ena	irods_path	bam_path	cram_path	read1_path	read2_path
VBS54893-6781STDY12150017	ERR9438067	/seq/illumina/runs/44/44089/lane1/plex1/44089_1#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438067/ERR9438067_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438067/ERR9438067_2.fastq.gz
VBS54894-6781STDY12150018	ERR9438068	/seq/illumina/runs/44/44089/lane1/plex2/44089_1#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438068/ERR9438068_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438068/ERR9438068_2.fastq.gz
VBS54895-6781STDY12150019	ERR9438069	/seq/illumina/runs/44/44089/lane1/plex3/44089_1#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438069/ERR9438069_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438069/ERR9438069_2.fastq.gz
VBS54898-6781STDY12150021	ERR9438070	/seq/illumina/runs/44/44089/lane1/plex4/44089_1#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438070/ERR9438070_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438070/ERR9438070_2.fastq.gz
VBS54901-6781STDY12150024	ERR9438071	/seq/illumina/runs/44/44089/lane1/plex5/44089_1#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438071/ERR9438071_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438071/ERR9438071_2.fastq.gz
VBS54903-6781STDY12150026	ERR9438072	/seq/illumina/runs/44/44089/lane1/plex6/44089_1#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438072/ERR9438072_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438072/ERR9438072_2.fastq.gz
VBS54904-6781STDY12150027	ERR9438073	/seq/illumina/runs/44/44089/lane1/plex7/44089_1#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438073/ERR9438073_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438073/ERR9438073_2.fastq.gz
VBS54909-6781STDY12150031	ERR9438074	/seq/illumina/runs/44/44089/lane1/plex8/44089_1#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438074/ERR9438074_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438074/ERR9438074_2.fastq.gz
VBS54911-6781STDY12150033	ERR9438075	/seq/illumina/runs/44/44089/lane1/plex9/44089_1#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438075/ERR9438075_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438075/ERR9438075_2.fastq.gz
VBS54912-6781STDY12150034	ERR9438076	/seq/illumina/runs/44/44089/lane1/plex10/44089_1#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438076/ERR9438076_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438076/ERR9438076_2.fastq.gz
