gene	GWAS	Fst	H12	PBS
AGAP001329	TRUE	FALSE	FALSE	FALSE
AGAP001330	TRUE	FALSE	FALSE	FALSE
AGAP002000	TRUE	FALSE	FALSE	FALSE
AGAP002002	TRUE	FALSE	FALSE	FALSE
AGAP002626	FALSE	FALSE	TRUE	FALSE
AGAP002627	FALSE	FALSE	TRUE	FALSE
AGAP005008	TRUE	FALSE	FALSE	FALSE
AGAP005010	TRUE	FALSE	FALSE	FALSE
AGAP005180	TRUE	FALSE	FALSE	FALSE
AGAP005182	TRUE	FALSE	FALSE	FALSE
AGAP005183	TRUE	FALSE	FALSE	FALSE
AGAP007237	TRUE	FALSE	FALSE	FALSE
AGAP008513	TRUE	FALSE	FALSE	FALSE
AGAP008514	TRUE	FALSE	FALSE	FALSE
AGAP008515	TRUE	FALSE	FALSE	FALSE
AGAP008879	TRUE	FALSE	FALSE	FALSE
AGAP008880	TRUE	FALSE	FALSE	FALSE
AGAP008881	TRUE	FALSE	FALSE	FALSE
AGAP008882	TRUE	FALSE	FALSE	FALSE
AGAP008883	TRUE	FALSE	FALSE	FALSE
AGAP008884	TRUE	FALSE	FALSE	FALSE
AGAP008885	TRUE	FALSE	FALSE	FALSE
AGAP008886	TRUE	FALSE	FALSE	FALSE
AGAP008887	TRUE	FALSE	FALSE	FALSE
AGAP008889	TRUE	FALSE	FALSE	FALSE
AGAP008960	TRUE	FALSE	FALSE	FALSE
AGAP008961	TRUE	FALSE	FALSE	FALSE
AGAP009266	TRUE	FALSE	FALSE	FALSE
AGAP009267	TRUE	FALSE	FALSE	FALSE
AGAP009531	TRUE	FALSE	FALSE	FALSE
AGAP009533	TRUE	FALSE	FALSE	FALSE
AGAP009859	TRUE	FALSE	FALSE	FALSE
AGAP009860	TRUE	FALSE	FALSE	FALSE
AGAP009961	FALSE	TRUE	FALSE	FALSE
AGAP009964	FALSE	TRUE	FALSE	FALSE
AGAP011186	TRUE	FALSE	FALSE	FALSE
AGAP011187	TRUE	FALSE	FALSE	FALSE
AGAP028068	TRUE	FALSE	FALSE	FALSE
AGAP028515	TRUE	FALSE	FALSE	FALSE
AGAP028560	TRUE	FALSE	FALSE	FALSE
AGAP029470	TRUE	FALSE	FALSE	FALSE
AGAP029556	FALSE	TRUE	FALSE	FALSE
