gene	GWAS	Fst	H12	PBS
AGAP001999	TRUE	FALSE	FALSE	FALSE
AGAP002000	TRUE	FALSE	FALSE	FALSE
AGAP002002	TRUE	FALSE	FALSE	FALSE
AGAP002003	TRUE	FALSE	FALSE	FALSE
AGAP002004	TRUE	FALSE	FALSE	FALSE
AGAP002117	TRUE	FALSE	FALSE	FALSE
AGAP002326	FALSE	FALSE	TRUE	FALSE
AGAP002333	FALSE	FALSE	TRUE	FALSE
AGAP002335	FALSE	FALSE	TRUE	FALSE
AGAP002398	FALSE	FALSE	TRUE	FALSE
AGAP002775	FALSE	FALSE	TRUE	FALSE
AGAP002782	FALSE	FALSE	TRUE	FALSE
AGAP002783	FALSE	FALSE	TRUE	TRUE
AGAP002787	FALSE	FALSE	TRUE	FALSE
AGAP002800	FALSE	TRUE	FALSE	FALSE
AGAP002801	FALSE	TRUE	FALSE	TRUE
AGAP002802	FALSE	FALSE	FALSE	TRUE
AGAP002805	FALSE	TRUE	FALSE	FALSE
AGAP002807	TRUE	TRUE	TRUE	TRUE
AGAP002808	TRUE	TRUE	TRUE	TRUE
AGAP002809	TRUE	TRUE	TRUE	TRUE
AGAP002810	TRUE	TRUE	TRUE	TRUE
AGAP002811	TRUE	FALSE	FALSE	FALSE
AGAP002812	TRUE	TRUE	FALSE	TRUE
AGAP002813	TRUE	FALSE	FALSE	FALSE
AGAP002814	TRUE	TRUE	FALSE	TRUE
AGAP002816	FALSE	FALSE	FALSE	TRUE
AGAP002818	FALSE	FALSE	FALSE	TRUE
AGAP002819	FALSE	FALSE	TRUE	FALSE
AGAP002820	FALSE	FALSE	TRUE	FALSE
AGAP002821	FALSE	FALSE	TRUE	FALSE
AGAP002822	FALSE	FALSE	TRUE	FALSE
AGAP002826	TRUE	TRUE	TRUE	FALSE
AGAP002828	TRUE	TRUE	TRUE	FALSE
AGAP002830	TRUE	TRUE	TRUE	FALSE
AGAP002831	TRUE	TRUE	FALSE	TRUE
AGAP002832	TRUE	TRUE	TRUE	TRUE
AGAP002835	TRUE	TRUE	TRUE	TRUE
AGAP002836	TRUE	TRUE	TRUE	TRUE
