sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	run.accession
EA18-0001	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438067
EA18-0003	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438068
EA18-0004	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438069
EA18-0008	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438070
EA18-0012	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438071
EA18-0015	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438073
EA18-0022	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438075
EA18-0023	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438076
EA18-0026	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438077
EA18-0027	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438078
EA18-0029	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438079
EA18-0032	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438080
EA18-0033	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438081
EA18-0034	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438082
EA18-0038	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438083
EA18-0039	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438084
EA18-0043	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438085
EA18-0046	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438086
EA18-0047	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438087
EA18-0049	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438088
EA18-0051	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438089
EA18-0057	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438090
EA18-0059	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438092
EA18-0062	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438094
EA18-0064	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438096
EA18-0066	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438097
EA18-0067	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438098
EA18-0068	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438099
EA18-0069	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438100
EA18-0070	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438101
EA18-0071	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438102
EA18-0072	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438127
EA18-0073	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438128
EA18-0075	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438129
EA18-0076	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438130
EA18-0077	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438131
EA18-0078	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438132
EA18-0083	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438135
EA18-0084	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438136
EA18-0085	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438137
EA18-0086	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438138
EA18-0087	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438115
EA18-0088	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438116
EA18-0089	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438117
EA18-0090	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438118
EA18-0091	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438119
EA18-0092	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438120
EA18-0093	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438121
EA18-0094	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438122
EA18-0095	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438123
EA18-0096	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438124
EA18-0098	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438126
EA18-0099	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive	1	FALSE	ERR9438103
EA18-0100	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438104
EA18-0102	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438105
EA18-0104	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438106
EA18-0106	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438107
EA18-0109	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438108
EA18-0112	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438109
EA18-0114	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438110
EA18-0115	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438111
EA18-0116	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438112
EA18-0117	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438113
EA18-0118	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438114
EA18-0119	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438139
EA18-0120	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438140
EA18-0121	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438141
EA18-0122	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438142
EA18-0123	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438143
