midpoint	h1x
118145.857	0.0
260673.9405	0.0
397249.3585	0.0
528385.9565	0.0
694556.7625	0.0
811626.1755	0.0
938496.9895	0.0
1030925.927	0.0
1162250.882	0.0
1269107.651	0.0
1392232.1805	0.0
1524601.387	0.001
1593953.9225	0.0
1689370.834	0.001
1777708.717	0.0
1898526.721	0.0
1986085.8115	0.0
2061230.1885	0.001
2135638.8325	0.001
2284713.05	0.0
2390681.0685	0.001
2466436.52	0.0
2551346.108	0.003
2617355.6565	0.001
2696009.176	0.006
2775991.5435	0.0
2854526.6735	0.0
2941611.4935	0.001
3022453.21	0.002
3091785.152	0.001
3167267.957	0.0
3236416.37	0.008
3288394.156	0.001
3362699.017	0.005
3418812.2205	0.006
3466695.4495	0.007
3515873.362	0.005
3569270.2085	0.009
3617347.9715	0.012
3666739.1315	0.007
3715335.0285	0.009
3760232.633	0.007
3815160.8205	0.006
3867683.0475	0.007
3909137.2645	0.006
3953047.2585	0.003
4054155.1385	0.0
4123590.9465	0.011
4162246.735	0.01
4206744.748	0.008
4248478.598	0.006
4291264.127	0.012
4328545.4455	0.006
4371683.2895	0.006
4419361.773	0.013
4461054.5385	0.009
4506349.919	0.014
4554929.023	0.006
4608857.1625	0.007
4683643.3285	0.005
4738140.9695	0.011
4777132.114	0.007
4811864.663	0.006
4854823.4635	0.011
4910648.199	0.006
4964151.72	0.005
5015278.4685	0.006
5169746.567	0.0
5351822.407	0.0
5494187.67	0.0
5529672.956	0.002
5576211.0765	0.0
5630582.556	0.0
5664814.966	0.002
5693258.771	0.003
5723107.072	0.003
5755558.204	0.003
5787560.5265	0.004
5820210.321	0.001
5865995.7005	0.001
5900868.0735	0.002
5933552.887	0.003
5987238.8665	0.002
6021021.5245	0.002
6057486.56	0.0
6096745.401	0.001
6133225.8205	0.004
6164883.7985	0.004
6190977.248	0.002
6220319.036	0.008
6248069.3515	0.005
6308114.421	0.0
6380437.409	0.005
6410503.3655	0.004
6440743.5235	0.006
6467391.0515	0.006
6497107.067	0.004
6525530.1235	0.003
6556650.834	0.003
6604576.967	0.002
6630493.143	0.009
6654854.235	0.007
6679314.9925	0.015
6705506.852	0.006
6728327.9915	0.006
6748140.7165	0.004
6770095.277	0.005
6794646.097	0.004
6817437.1015	0.009
6840863.8815	0.005
6862100.6195	0.007
6882759.445	0.001
6903359.2565	0.003
6925581.7265	0.007
6948498.4325	0.005
6978099.464	0.007
7003780.0565	0.002
7031075.4835	0.007
7061539.093	0.005
7086386.0065	0.002
7114080.402	0.001
7160507.8115	0.0
7201712.841	0.004
7242929.4505	0.004
7289342.182	0.006
7328460.374	0.003
7388347.4065	0.002
7462846.65	0.001
7539929.457	0.001
7577162.658	0.002
7611392.3685	0.007
7638457.1955	0.006
7664381.9245	0.008
7691260.531	0.005
7721821.1625	0.003
7762091.159	0.005
7796596.979	0.005
7828264.0535	0.003
7857464.0845	0.007
7886295.286	0.008
7913003.059	0.008
7939582.651	0.006
7963898.1185	0.001
7988750.29	0.005
8015063.66	0.003
8048497.7945	0.001
8069009.1325	0.003
8089635.754	0.006
8113514.4095	0.002
8137450.36	0.002
8161221.3765	0.005
8203928.244	0.003
8233465.0575	0.004
8262101.5	0.01
8292391.9445	0.002
8322190.8585	0.006
8396679.948	0.001
8550101.4165	0.0
8603880.244	0.0
8635800.6255	0.002
8670123.168	0.003
8700630.0905	0.003
