midpoint	h12
118145.857	0.017
260673.9405	0.017
397249.3585	0.017
528385.9565	0.017
694556.7625	0.017
811626.1755	0.017
938496.9895	0.017
1030925.927	0.017
1162250.882	0.017
1269107.651	0.017
1392232.1805	0.017
1524601.387	0.018
1593953.9225	0.017
1689370.834	0.018
1777708.717	0.017
1898526.721	0.017
1986085.8115	0.017
2061230.1885	0.017
2135638.8325	0.017
2284713.05	0.018
2390681.0685	0.023
2466436.52	0.017
2551346.108	0.022
2617355.6565	0.017
2696009.176	0.038
2775991.5435	0.02
2854526.6735	0.017
2941611.4935	0.02
3022453.21	0.029
3091785.152	0.022
3167267.957	0.02
3236416.37	0.038
3288394.156	0.021
3362699.017	0.036
3418812.2205	0.033
3466695.4495	0.034
3515873.362	0.03
3569270.2085	0.034
3617347.9715	0.042
3666739.1315	0.034
3715335.0285	0.039
3760232.633	0.032
3815160.8205	0.034
3867683.0475	0.031
3909137.2645	0.024
3953047.2585	0.024
4054155.1385	0.022
4123590.9465	0.048
4162246.735	0.048
4206744.748	0.036
4248478.598	0.044
4291264.127	0.04
4328545.4455	0.029
4371683.2895	0.038
4419361.773	0.046
4461054.5385	0.047
4506349.919	0.067
4554929.023	0.031
4608857.1625	0.041
4683643.3285	0.027
4738140.9695	0.057
4777132.114	0.028
4811864.663	0.045
4854823.4635	0.048
4910648.199	0.039
4964151.72	0.034
5015278.4685	0.038
5169746.567	0.017
5351822.407	0.017
5494187.67	0.026
5529672.956	0.023
5576211.0765	0.017
5630582.556	0.017
5664814.966	0.032
5693258.771	0.049
5723107.072	0.038
5755558.204	0.038
5787560.5265	0.032
5820210.321	0.034
5865995.7005	0.031
5900868.0735	0.031
5933552.887	0.032
5987238.8665	0.023
6021021.5245	0.029
6057486.56	0.018
6096745.401	0.024
6133225.8205	0.027
6164883.7985	0.032
6190977.248	0.036
6220319.036	0.042
6248069.3515	0.037
6308114.421	0.017
6380437.409	0.043
6410503.3655	0.063
6440743.5235	0.034
6467391.0515	0.05
6497107.067	0.061
6525530.1235	0.055
6556650.834	0.044
6604576.967	0.032
6630493.143	0.042
6654854.235	0.045
6679314.9925	0.052
6705506.852	0.035
6728327.9915	0.046
6748140.7165	0.037
6770095.277	0.065
6794646.097	0.066
6817437.1015	0.063
6840863.8815	0.067
6862100.6195	0.044
6882759.445	0.042
6903359.2565	0.042
6925581.7265	0.052
6948498.4325	0.036
6978099.464	0.056
7003780.0565	0.033
7031075.4835	0.068
7061539.093	0.043
7086386.0065	0.032
7114080.402	0.036
7160507.8115	0.022
7201712.841	0.044
7242929.4505	0.049
7289342.182	0.062
7328460.374	0.039
7388347.4065	0.047
7462846.65	0.021
7539929.457	0.026
7577162.658	0.041
7611392.3685	0.067
7638457.1955	0.061
7664381.9245	0.068
7691260.531	0.046
7721821.1625	0.05
7762091.159	0.044
7796596.979	0.056
7828264.0535	0.077
7857464.0845	0.071
7886295.286	0.047
7913003.059	0.082
7939582.651	0.067
7963898.1185	0.053
7988750.29	0.058
8015063.66	0.042
8048497.7945	0.034
8069009.1325	0.054
8089635.754	0.047
8113514.4095	0.029
8137450.36	0.053
8161221.3765	0.031
8203928.244	0.029
8233465.0575	0.033
8262101.5	0.042
8292391.9445	0.023
8322190.8585	0.048
8396679.948	0.017
8550101.4165	0.018
8603880.244	0.021
8635800.6255	0.034
8670123.168	0.032
8700630.0905	0.047
8738604.924	0.031
8771577.215	0.043
8810529.5595	0.024
8851423.294	0.038
8882226.7355	0.037
8917913.704	0.044
8951203.087	0.034
8980721.046	0.044
9007750.111	0.034
9031825.0415	0.033
9061501.6945	0.047
9094892.307	0.029
9153879.3495	0.023
9187774.338	0.028
9216327.32	0.036
9247338.092	0.04
9288927.9765	0.038
9316150.546	0.032
9338259.787	0.038
9364576.117	0.035
9387883.868	0.028
9413030.26	0.031
9440065.004	0.03
9465473.6245	0.032
9491867.529	0.035
9519880.964	0.025
9548617.534	0.024
9571719.635	0.039
9594575.2485	0.028
9619986.754	0.024
9647528.3675	0.04
9670317.4985	0.036
9701744.7935	0.034
9746784.563	0.023
9774086.5215	0.032
9799751.8165	0.029
9825163.785	0.034
9848691.6865	0.025
9874339.7595	0.032
9900969.692	0.028
9930267.995	0.038
9958370.8205	0.018
9985759.883	0.022
10009679.71	0.028
10031841.2475	0.028
10053225.542	0.031
10076961.9265	0.03
10099691.861	0.033
10129828.6635	0.023
10165768.2445	0.022
10202268.441	0.021
10232237.9055	0.025
10258655.568	0.032
10285399.974	0.033
10316106.521	0.037
10344924.7515	0.024
10375670.897	0.023
10404134.589	0.029
10431156.1165	0.023
10454345.116	0.042
10478275.806	0.032
10501138.0125	0.029
10527350.2355	0.037
10554363.0635	0.023
10579108.7665	0.036
10609026.762	0.031
10628985.867	0.024
10647741.411	0.042
10667055.1845	0.036
10684977.17	0.032
10705067.897	0.035
10726852.349	0.032
10746321.185	0.032
10766562.8945	0.043
10786765.1645	0.024
10806510.759	0.023
10828743.236	0.023
10847529.2305	0.026
10864961.769	0.029
10882082.2595	0.032
10898863.546	0.03
10919797.7645	0.026
10944532.167	0.028
10975674.916	0.024
10994088.568	0.026
11014332.156	0.028
11031717.9105	0.023
11054629.581	0.018
11076112.7455	0.025
11103063.2245	0.029
11127018.074	0.026
11145503.562	0.034
11162347.022	0.021
11178425.688	0.028
11196368.985	0.023
11216227.222	0.031
11233894.3045	0.031
11253944.6	0.027
11276015.1585	0.035
11297482.7315	0.036
11316298.358	0.032
11334140.2475	0.03
11358683.172	0.03
11382166.0785	0.024
11401861.505	0.026
11437274.8605	0.017
11465432.8255	0.031
11491102.4585	0.027
11511367.27	0.038
11533977.9505	0.041
11558745.727	0.021
11585580.648	0.02
11607194.8785	0.036
11628152.292	0.036
11650479.7205	0.027
11670233.067	0.029
11688015.418	0.025
11705037.358	0.024
11723507.186	0.031
11740741.693	0.036
11757877.4765	0.03
11776879.2335	0.027
11795034.6425	0.028
11811621.0475	0.021
11827895.6975	0.034
11845761.78	0.024
11863195.436	0.031
11879593.06	0.024
11895652.4585	0.027
11912617.1995	0.024
11931142.2425	0.023
11948403.315	0.026
11968253.1965	0.028
11989602.571	0.042
12010631.327	0.027
12030433.179	0.024
12052465.467	0.029
12074626.3465	0.069
12099919.159	0.024
12127505.49	0.031
12152016.7975	0.026
12177706.214	0.027
12204300.6855	0.04
12228255.974	0.038
12255170.3635	0.044
12278533.6615	0.028
12302224.522	0.034
12325371.72	0.028
12348317.7135	0.021
12371473.1945	0.027
12396358.882	0.023
12422200.5245	0.027
12445023.9095	0.021
12470782.9115	0.032
