midpoint	h12
17790.833	0.031
55486.9995	0.037
95649.674	0.04
128591.195	0.024
161071.423	0.042
196036.692	0.043
231009.4475	0.052
266470.902	0.025
298308.6785	0.036
332848.362	0.02
367995.5515	0.024
393685.2005	0.041
415605.6395	0.057
440243.0155	0.066
465456.182	0.041
488817.3735	0.056
510973.551	0.034
534188.508	0.055
562137.3065	0.037
593584.2285	0.049
619447.1975	0.049
649417.775	0.048
678726.0525	0.038
705220.1565	0.025
731055.3415	0.022
750577.413	0.021
768923.268	0.021
787210.722	0.027
805164.155	0.021
822344.477	0.022
843696.515	0.021
868093.337	0.02
884065.355	0.023
900007.731	0.026
914928.7805	0.02
929221.9065	0.02
943145.5975	0.02
956826.6035	0.021
970849.7805	0.02
986331.6225	0.021
1001455.006	0.018
1016151.401	0.017
1031018.17	0.018
1046061.6685	0.018
1059905.558	0.018
1074138.722	0.018
1087456.3455	0.02
1101891.5165	0.017
1116488.761	0.018
1131574.3525	0.017
1147628.002	0.018
1165158.271	0.017
1179910.7895	0.02
1195096.495	0.02
1210027.895	0.023
1234448.03	0.023
1258868.714	0.02
1276340.0495	0.025
1294185.258	0.025
1308626.0045	0.018
1322155.076	0.021
1335232.09	0.02
1349288.1895	0.02
1366313.0985	0.02
1380392.697	0.02
1392476.935	0.02
1405666.648	0.021
1418955.14	0.018
1432882.747	0.021
1447147.8245	0.022
1462166.6225	0.029
1477264.2005	0.027
1492553.953	0.017
1509331.5885	0.021
1525350.451	0.027
1540490.988	0.023
1554992.6605	0.024
1573402.9095	0.021
1592751.06	0.026
1611696.237	0.022
1637481.1165	0.029
1659237.506	0.022
1675909.9825	0.024
1693034.55	0.018
1709895.153	0.04
1726194.9835	0.031
1749213.7595	0.024
1769413.4535	0.021
1786246.92	0.026
1803046.603	0.026
1819588.931	0.035
1832729.629	0.026
1847740.7255	0.023
1862434.321	0.024
1876460.801	0.029
1891049.068	0.018
1905746.248	0.024
1919541.0415	0.022
1933441.173	0.026
1951242.068	0.02
1969341.388	0.025
1983474.8005	0.024
1996693.6385	0.024
2011045.8245	0.024
2026857.2575	0.03
2045887.429	0.027
2065074.724	0.024
2081371.8505	0.023
2099393.8985	0.021
2119107.733	0.025
2137997.011	0.023
2156028.667	0.022
2174014.828	0.022
2193833.3195	0.017
2212331.145	0.026
2230277.4665	0.021
2244791.281	0.027
2260403.236	0.021
2276830.801	0.026
2292928.7055	0.024
2308877.489	0.021
2323992.877	0.023
2338870.1935	0.022
2353159.709	0.023
2367984.4595	0.024
2382795.635	0.021
2397087.154	0.023
2411753.196	0.029
2426360.814	0.027
2441193.9025	0.021
2456330.167	0.023
2473501.3845	0.021
2494852.9145	0.02
2512183.38	0.023
2527453.5855	0.026
2543649.7615	0.026
2559912.556	0.025
2575380.6885	0.024
2591044.4855	0.031
2607163.3725	0.022
2623806.8135	0.024
2642429.225	0.021
2661683.144	0.022
2677188.2955	0.021
2691355.4565	0.025
2706528.231	0.022
2723660.5615	0.022
2739382.923	0.024
2753867.256	0.027
2768704.4375	0.03
2784673.272	0.021
2801476.1775	0.023
2818131.221	0.022
2832938.6625	0.024
2849717.6265	0.017
2867730.279	0.027
2887000.6975	0.027
2904069.8695	0.029
2919037.2115	0.023
2933355.2535	0.026
2948638.562	0.021
2964428.098	0.018
2978720.6	0.02
2995799.5485	0.024
3012268.9	0.021
3026624.5955	0.018
3041195.3855	0.021
3059417.1085	0.021
3075074.7605	0.021
3088760.987	0.02
3102754.571	0.023
3117762.09	0.022
3132582.763	0.021
3146911.32	0.028
3160877.191	0.026
3175133.529	0.022
3190546.4935	0.017
3256246.0405	0.023
3273068.674	0.026
3288379.746	0.024
3302093.12	0.023
3317386.1385	0.028
3333954.176	0.026
3349838.2205	0.026
3367995.073	0.022
3383174.2335	0.02
3399625.3355	0.023
3415990.2225	0.021
3431002.864	0.024
3445851.369	0.02
3460315.779	0.018
3474697.285	0.017
3489950.1	0.017
3508044.3875	0.018
3527458.6975	0.023
3544518.1805	0.021
3559057.8435	0.025
3575075.514	0.027
3591713.105	0.02
3606192.35	0.021
3620634.0145	0.023
3635175.9865	0.025
3648517.955	0.022
3660955.5065	0.027
3672972.309	0.02
3684970.0455	0.021
3698848.84	0.021
3711079.6185	0.021
3722995.1385	0.02
3737136.1715	0.021
3750682.327	0.02
3764050.6225	0.02
3777191.469	0.021
3790144.7665	0.021
3804178.182	0.018
3818442.453	0.023
3832684.1555	0.022
3847207.8625	0.026
3861346.9785	0.021
3877046.441	0.021
3893095.0685	0.029
3907347.112	0.022
3921968.127	0.023
3936683.9595	0.023
3950735.761	0.027
3964195.839	0.024
3977810.116	0.024
3992659.0205	0.022
4008150.753	0.022
4024564.8515	0.027
4040531.624	0.026
4060402.2345	0.032
4077267.7455	0.02
4095463.285	0.018
4114862.2385	0.022
4134560.428	0.026
4153888.939	0.022
4173817.9895	0.021
4192725.6315	0.03
4211644.3535	0.023
4229061.5345	0.023
4244258.944	0.028
4259377.9555	0.023
4274056.4265	0.023
4288545.491	0.029
4302700.598	0.027
4316270.608	0.024
4330674.1685	0.025
4345056.1075	0.022
4358525.918	0.018
4372034.7165	0.023
4385771.6895	0.018
4399195.8165	0.027
4411969.4005	0.028
4425661.09	0.03
4439591.882	0.021
4453293.5975	0.023
4467191.567	0.024
4481921.1	0.024
4497935.9635	0.023
4512181.6035	0.026
4526821.8235	0.023
4541942.206	0.021
4556326.869	0.022
4573868.3265	0.022
4590249.214	0.027
4604215.807	0.027
4619387.9365	0.031
4635027.0435	0.027
4651394.186	0.02
4670034.8185	0.02
4688571.6655	0.026
4705904.155	0.025
4726430.009	0.021
4746628.308	0.023
4766529.6455	0.024
4785480.86	0.021
4803100.6615	0.018
4819086.6595	0.021
4836899.0655	0.022
4854499.505	0.021
4871857.3785	0.023
4888326.8555	0.027
4907439.743	0.021
4922841.0715	0.024
4939721.538	0.028
4955753.1495	0.021
4986333.6565	0.021
5006465.4385	0.028
5023576.652	0.021
5056825.5795	0.026
5089371.9625	0.031
5113653.969	0.031
5131978.152	0.024
5149595.532	0.032
5165685.234	0.023
5182218.799	0.024
5200252.079	0.023
5220853.504	0.037
5240807.162	0.032
5261831.87	0.027
5282713.164	0.031
5304363.12	0.032
5322737.427	0.026
5342351.6155	0.03
5364331.7845	0.021
5386236.7205	0.026
5407879.1755	0.035
5426255.2635	0.025
5442195.474	0.024
5459483.815	0.022
5479644.548	0.02
5497531.163	0.021
5515055.112	0.026
5533591.4955	0.022
5553575.936	0.028
5572746.8455	0.02
5588808.3735	0.022
5604719.569	0.024
5620283.6015	0.021
5635805.0645	0.024
5655422.7595	0.026
5672903.1475	0.027
5691466.225	0.026
5712215.8845	0.02
5730288.654	0.023
5750458.2325	0.027
5767813.6715	0.024
5789511.2225	0.026
5807890.2015	0.017
5829650.4515	0.017
5852874.17	0.021
5872143.9515	0.024
5889054.6645	0.028
5905368.0755	0.023
5920534.412	0.022
5937455.3335	0.021
5956108.351	0.023
5972962.32	0.021
5988485.21	0.021
6004382.915	0.023
6021373.183	0.022
6039867.832	0.022
6058522.72	0.021
6076014.804	0.021
6094878.0125	0.024
6114711.42	0.029
6132883.576	0.031
6151975.471	0.041
6169264.0465	0.026
6186311.9745	0.033
6204917.808	0.022
6219398.9845	0.024
6232034.878	0.022
6250234.577	0.038
6267822.948	0.023
6285360.2535	0.021
6304397.7175	0.021
6324853.6205	0.021
6345096.575	0.027
6364189.2885	0.025
6382445.331	0.022
6397674.38	0.024
6414011.778	0.018
6431024.998	0.021
6447993.427	0.021
6466027.4895	0.02
6486116.993	0.02
6505952.2855	0.022
6523019.318	0.022
6542960.533	0.021
6559720.9155	0.02
6574819.2515	0.026
6588539.4245	0.021
6602160.104	0.027
6616364.4705	0.021
6631249.683	0.018
6652299.0335	0.018
6673532.8705	0.02
6695298.264	0.018
6710645.649	0.021
6725425.661	0.031
6741184.201	0.023
6757769.782	0.023
6772783.5455	0.021
6789138.59	0.018
6805825.1735	0.021
6823889.7895	0.024
6839844.884	0.023
6855317.3535	0.023
6870399.8915	0.023
6885791.3865	0.028
6901216.3325	0.024
6924313.713	0.027
6946341.9155	0.028
6962117.894	0.029
6978202.592	0.029
6994901.7235	0.026
7014176.3085	0.021
7032654.9365	0.021
7053311.55	0.021
7068340.9545	0.021
7083076.701	0.021
7098575.525	0.021
7113239.843	0.022
7128190.452	0.021
7149068.421	0.02
7174797.9275	0.018
7195767.5365	0.017
7214433.213	0.021
7233143.6175	0.023
7250738.6565	0.036
7273579.7715	0.033
7295914.3235	0.022
7317415.1895	0.023
7337370.8675	0.022
7356413.299	0.024
7373352.9325	0.026
7388052.9525	0.023
7404000.548	0.029
7418408.904	0.021
7432245.7245	0.025
7445322.4045	0.027
7458969.338	0.021
7472494.4355	0.024
7485529.921	0.024
7499211.4005	0.026
7515897.9	0.022
7535775.479	0.021
7552149.207	0.022
7569228.088	0.018
7586733.6335	0.021
7605277.181	0.017
7623732.3885	0.021
7641184.8315	0.017
7661766.349	0.024
7678550.857	0.02
7694657.498	0.018
7708434.9475	0.022
7722557.69	0.02
7737226.731	0.02
7753546.357	0.021
7771297.668	0.02
7790069.953	0.02
7805959.4255	0.023
7823892.2665	0.02
7841026.659	0.021
7856151.4735	0.026
7871596.62	0.021
7886577.3965	0.025
7901011.6985	0.026
7916300.7825	0.018
7931781.6385	0.023
7947446.984	0.021
7961675.585	0.025
7976353.9985	0.034
7990634.8035	0.035
8006780.737	0.02
8022946.7995	0.026
8038551.405	0.026
8057219.412	0.021
8075469.3185	0.023
8090955.3795	0.027
8105792.348	0.022
8120422.1065	0.021
8135507.5285	0.021
8151849.672	0.021
8168319.8575	0.024
8182923.5825	0.022
8197048.752	0.025
8212071.873	0.018
8229173.1935	0.018
8244044.5745	0.017
8260006.1025	0.026
8275524.209	0.032
8291350.6765	0.029
8306345.438	0.033
8322299.408	0.037
8337507.3075	0.027
8354131.3275	0.025
8374012.096	0.021
8390953.082	0.022
8406626.1595	0.029
8421013.7935	0.03
8434471.137	0.021
8451361.878	0.023
8467050.649	0.02
8481796.4385	0.021
8498873.2035	0.021
8517185.7385	0.027
8532194.8085	0.023
8546186.0685	0.026
8560191.5055	0.025
8575067.141	0.034
8588876.323	0.025
8602577.931	0.029
8615848.7355	0.027
8631450.743	0.038
8657782.6475	0.023
8675993.877	0.031
8693258.1095	0.032
8707817.374	0.037
8722542.608	0.033
8737189.5695	0.024
8751513.923	0.028
8766561.729	0.022
8782861.2435	0.023
8801623.6525	0.024
8819331.2185	0.022
8837446.057	0.024
8860414.961	0.024
8879737.4175	0.02
8900312.74	0.022
8918521.5215	0.022
8937863.1875	0.026
8955714.717	0.032
8972750.022	0.03
8987546.266	0.024
9003940.9575	0.027
9019047.385	0.024
9039853.801	0.021
9058612.8915	0.023
9079459.2535	0.024
9100500.078	0.024
9120587.241	0.033
9138322.8715	0.024
9153410.4685	0.023
9171765.514	0.022
9190428.284	0.028
9208213.82	0.027
9224633.7965	0.023
9243836.625	0.021
9263642.252	0.022
9282377.1865	0.027
9299669.3585	0.021
9314901.6725	0.021
9332327.9355	0.026
9353325.0095	0.027
9371376.18	0.026
9387398.9225	0.026
9404065.154	0.021
9422470.0775	0.021
9439175.3245	0.017
9459297.082	0.022
9477866.598	0.023
9500524.7805	0.018
9521476.293	0.02
9541065.347	0.017
9564618.3425	0.017
9580964.6995	0.024
9596168.929	0.023
9610925.9745	0.023
9625935.0225	0.025
9640759.9505	0.02
9655898.878	0.02
9674858.724	0.017
9692497.594	0.024
9711282.4575	0.018
9738729.318	0.017
9863167.6165	0.017
10059237.3105	0.017
10160785.6705	0.018
10184645.3665	0.022
10216120.8745	0.022
10239738.052	0.023
10259196.4495	0.021
10281785.487	0.021
10303427.4355	0.018
10320557.3975	0.024
10343315.4485	0.017
10365774.82	0.018
10383842.7215	0.02
10401755.3845	0.017
10419352.3305	0.018
10436122.6985	0.02
10456267.057	0.018
10478602.707	0.022
10500398.6055	0.023
10520142.874	0.027
10539278.479	0.018
10556989.504	0.023
10573557.851	0.023
10590843.4965	0.027
10609133.739	0.024
10627170.46	0.023
10645396.003	0.032
10660229.81	0.023
10674369.6115	0.022
10687795.69	0.02
10700772.1795	0.021
10713953.6295	0.021
10727696.656	0.029
10741311.8425	0.026
10754485.642	0.024
10768499.811	0.027
10783770.5625	0.031
10799538.9095	0.023
10814393.958	0.056
10828406.7765	0.061
10849248.433	0.054
10871791.8375	0.058
10898714.1845	0.038
10919435.132	0.042
10935626.844	0.049
10950748.025	0.041
10965570.877	0.036
10979366.4275	0.042
10994488.7405	0.029
11009721.998	0.026
11025301.0785	0.031
11039859.948	0.03
11053668.9435	0.032
11068131.2095	0.032
11081134.453	0.029
11093435.365	0.04
11104995.7395	0.043
11118733.3675	0.021
11136030.6595	0.021
11153602.317	0.021
11172716.85	0.021
11189880.784	0.022
11205234.73	0.023
11221277.393	0.022
11241296.5375	0.02
11264109.6845	0.02
11286557.128	0.017
11303769.616	0.021
11319384.8425	0.026
11334806.442	0.025
11350420.6165	0.02
11367718.403	0.02
11385873.5635	0.022
11402584.7945	0.02
11419280.0015	0.023
11437110.1245	0.024
11455503.464	0.021
11475685.948	0.021
11496654.611	0.027
11520593.926	0.018
11537395.4715	0.026
11553162.868	0.026
11568247.664	0.022
11583682.706	0.021
11602061.211	0.026
11620348.1735	0.023
11637330.5665	0.023
11653672.418	0.022
11668821.6005	0.023
11684375.9295	0.021
11703964.9055	0.021
11721922.7145	0.024
11738981.12	0.026
11757222.268	0.021
11776017.066	0.022
11796133.355	0.034
11816191.651	0.027
11836123.252	0.017
11859546.929	0.028
11880477.7985	0.021
11902434.889	0.027
11924428.1795	0.024
11950012.969	0.033
11975795.258	0.025
12001879.501	0.032
12029982.9045	0.021
12047544.662	0.049
12064226.8095	0.028
12084036.816	0.025
12106668.8465	0.028
12124961.2665	0.029
