sample.set,chrom,start,end
Muleba_arabiensis_Delta,2R,27638426,27662872
Muleba_arabiensis_Delta,2R,27685539,27705619
Muleba_arabiensis_Delta,2R,27816983,27842983
Muleba_arabiensis_Delta,2R,27842983,27881640
Muleba_arabiensis_Delta,2R,27881639,27914408
Muleba_arabiensis_Delta,2R,27914407,27940942
Muleba_arabiensis_Delta,2R,28053952,28093398
Muleba_arabiensis_Delta,2R,28093397,28143756
Muleba_arabiensis_Delta,2R,28143756,28184032
Muleba_arabiensis_Delta,2R,28184031,28228003
Muleba_arabiensis_Delta,2R,28228002,28259252
Muleba_arabiensis_Delta,2R,28259251,28286905
Muleba_arabiensis_Delta,2R,28286905,28322651
Muleba_arabiensis_Delta,2R,28322651,28359439
Muleba_arabiensis_Delta,2R,56192837,56228671
Muleba_arabiensis_Delta,2R,56720537,56789287
