seqid	start	end	gene.id	gene.name	attributes
2R	26577451	26583298	AGAP013298	AGAP013298	ID=AGAP013298;description=unspecified product
2R	26587691	26595914	AGAP002744	AGAP002744	ID=AGAP002744;description=unspecified product
2R	26597596	26599494	AGAP013160	AGAP013160	ID=AGAP013160;description=unspecified product
2R	26611084	26618119	AGAP028610	AGAP028610	ID=AGAP028610;description=unspecified product
2R	26637169	26637872	AGAP002747	AGAP002747	ID=AGAP002747;description=unspecified product
2R	26638137	26665385	AGAP002748	AGAP002748	ID=AGAP002748;description=protein kinase C
2R	26667151	26669303	AGAP002751	AGAP002751	ID=AGAP002751;description=unspecified product
2R	26669738	26673116	AGAP002752	AGAP002752	ID=AGAP002752;description=DnaJ (Hsp40) homolog%2C subfamily C%2C member 3
2R	26673165	26674226	AGAP002753	AGAP002753	ID=AGAP002753;description=unspecified product
2R	26674578	26675826	AGAP002754	Rpl35a	ID=AGAP002754;Name=RpL35a;description=60S ribosomal protein L35a
2R	26711910	26747494	AGAP002757	AGAP002757	ID=AGAP002757;description=unspecified product
2R	26718450	26721056	AGAP002755	AGAP002755	ID=AGAP002755;description=unspecified product
2R	26729415	26730635	AGAP002756	AGAP002756	ID=AGAP002756;description=unspecified product
2R	26774455	26778980	AGAP002758	AGAP002758	ID=AGAP002758;description=E3 ubiquitin-protein ligase RNF115/126
2R	26779138	26781519	AGAP002759	Cct3	ID=AGAP002759;Name=CCT3;description=Chaperonin containing TCP1 subunit 3
2R	26782080	26787469	AGAP002760	AGAP002760	ID=AGAP002760;description=topoisomerase (DNA) II binding protein 1
2R	26787557	26789781	AGAP002761	AGAP002761	ID=AGAP002761;description=3-methylcrotonyl-CoA carboxylase beta subunit
2R	26790354	26793054	AGAP002762	Cct7	ID=AGAP002762;Name=CCT7;description=Chaperonin containing TCP1 subunit 7
2R	26793376	26795314	AGAP013363	Ir7i	ID=AGAP013363;Name=IR7i;description=ionotropic receptor IR7i
2R	26795525	26797440	AGAP013285	Ir7u	ID=AGAP013285;Name=IR7u;description=ionotropic receptor IR7u
2R	26797736	26799713	AGAP002763	Ir7t	ID=AGAP002763;Name=IR7t;description=ionotropic receptor IR7t
2R	26799941	26801942	AGAP013416	Ir7w	ID=AGAP013416;Name=IR7w;description=ionotropic receptor IR7w
2R	26819327	26827639	AGAP013026	AGAP013026	ID=AGAP013026;description=unspecified product
2R	26829604	26831375	AGAP002764	AGAP002764	ID=AGAP002764;description=unspecified product
2R	26832458	26833605	AGAP002765	AGAP002765	ID=AGAP002765;description=unspecified product
2R	26834132	26835745	AGAP002766	AGAP002766	ID=AGAP002766;description=C-4 methylsterol oxidase
2R	26839004	26848674	AGAP002767	AGAP002767	ID=AGAP002767;description=C-4 methylsterol oxidase
2R	26852642	26854309	AGAP002769	AGAP002769	ID=AGAP002769;description=C-4 methylsterol oxidase
2R	26856741	26858441	AGAP002770	AGAP002770	ID=AGAP002770;description=tubulin%2C alpha 1
2R	26858553	26864102	AGAP029386	AGAP029386	ID=AGAP029386;description=unspecified product
2R	26896933	26898011	AGAP002771	AGAP002771	ID=AGAP002771;description=unspecified product
2R	26953872	26963895	AGAP029676	AGAP029676	ID=AGAP029676;description=unspecified product
2R	27002928	27020697	AGAP029639	AGAP029639	ID=AGAP029639;description=unspecified product
2R	27038786	27041487	AGAP002775	AGAP002775	ID=AGAP002775;description=transmembrane anterior posterior transformation protein 1 homolog
2R	27041770	27043216	AGAP002776	AGAP002776	ID=AGAP002776;description=cleavage stimulation factor subunit 1
2R	27043342	27043816	AGAP002777	Mrps33	ID=AGAP002777;Name=mRpS33;description=28S ribosomal protein S33%2C mitochondrial [Source:UniProtKB/TrEMBL%3BAcc:Q7PR61]
2R	27043843	27051040	AGAP013266	AGAP013266	ID=AGAP013266;description=eukaryotic translation initiation factor 2-alpha kinase 3
2R	27047757	27049834	AGAP002778	AGAP002778	ID=AGAP002778;description=protein misato
2R	27051549	27053652	AGAP002779	AGAP002779	ID=AGAP002779;description=transcription initiation factor TFIIF subunit alpha
2R	27053652	27054296	AGAP002780	AGAP002780	ID=AGAP002780;description=pre-mRNA branch site protein p14
2R	27054619	27059551	AGAP002781	AGAP002781	ID=AGAP002781;description=unspecified product
2R	27059818	27078390	AGAP002782	AGAP002782	ID=AGAP002782;description=nuclear autoantigenic sperm protein
2R	27062359	27063674	AGAP013378	AGAP013378	ID=AGAP013378;description=unspecified product
2R	27065042	27073464	AGAP013010	AGAP013010	ID=AGAP013010;description=unspecified product
2R	27181159	27189160	AGAP002783	AGAP002783	ID=AGAP002783;description=UDP glucuronosyltransferase 5 family%2C polypeptide A2
2R	27191455	27206429	AGAP002784	Clipd8	ID=AGAP002784;Name=CLIPD8;description=CLIP-domain serine protease
2R	27207541	27208271	AGAP013343	AGAP013343	ID=AGAP013343;description=unspecified product
2R	27212512	27213417	AGAP013426	AGAP013426	ID=AGAP013426;description=unspecified product
2R	27215207	27237292	AGAP002787	AGAP002787	ID=AGAP002787;description=unspecified product
2R	27237778	27238890	AGAP002788	AGAP002788	ID=AGAP002788;description=MICOS complex subunit [Source:UniProtKB/TrEMBL%3BAcc:Q7QCS7]
