seqid	start	end	gene.id	gene.name	attributes
2L	36439774	36514197	AGAP006665	AGAP006665	ID=AGAP006665;description=unspecified product
2L	36514368	36516285	AGAP006668	AGAP006668	ID=AGAP006668;description=squid
2L	36604298	36629279	AGAP006669	AGAP006669	ID=AGAP006669;description=arginine-glutamic acid dipeptide repeats protein
2L	36631439	36633347	AGAP006670	AGAP006670	ID=AGAP006670;description=gamma-glutamyl hydrolase
2L	36633361	36634664	AGAP006671	AGAP006671	ID=AGAP006671;description=unspecified product
2L	36635089	36636072	AGAP006672	AGAP006672	ID=AGAP006672;description=unspecified product
2L	36639059	36639982	AGAP006673	AGAP006673	ID=AGAP006673;description=unspecified product
2L	36643320	36644240	AGAP006674	AGAP006674	ID=AGAP006674;description=chymotrypsin-like protease (Precursor)
2L	36647008	36647916	AGAP006675	AGAP006675	ID=AGAP006675;description=chymotrypsinogen
2L	36648020	36649271	AGAP029091	AGAP029091	ID=AGAP029091;description=Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A2C9H3X6]
2L	36651932	36652837	AGAP006676	AGAP006676	ID=AGAP006676;description=serine collagenase 1
2L	36653143	36654063	AGAP006677	AGAP006677	ID=AGAP006677;description=Late trypsin
2L	36655671	36666455	AGAP006678	AGAP006678	ID=AGAP006678;description=cyclin T
2L	36667129	36671292	AGAP006680	AGAP006680	ID=AGAP006680;description=unspecified product
2L	36671889	36676783	AGAP006681	AGAP006681	ID=AGAP006681;description=unspecified product
2L	36677216	36679764	AGAP006682	Exo7	ID=AGAP006682;Name=Exo7;description=exocyst complex component 7
2L	36679899	36681089	AGAP006683	AGAP006683	ID=AGAP006683;description=unspecified product
2L	36681083	36682086	AGAP006684	Mrpl46	ID=AGAP006684;Name=mRpL46;description=39S ribosomal protein L46%2C mitochondrial
2L	36682467	36687107	AGAP006685	AGAP006685	ID=AGAP006685;description=Protein sarah
2L	36690201	36702482	AGAP006686	AGAP006686	ID=AGAP006686;description=spectrin alpha
2L	36702651	36704263	AGAP006687	AGAP006687	ID=AGAP006687;description=vacuolar fusion protein CCZ1 homolog
