midpoint	h1x
16222.9865	0.001
53579.2925	0.008
90006.3915	0.004
121238.675	0.004
155624.1525	0.003
193797.423	0.004
227413.0695	0.009
257960.1705	0.008
290978.697	0.006
321162.102	0.003
349557.493	0.007
383601.6335	0.003
409887.2205	0.002
441065.176	0.005
469407.6645	0.004
498226.9465	0.005
526974.27	0.004
551373.0845	0.003
571147.8835	0.006
591459.942	0.003
610288.3085	0.004
629011.6625	0.006
647653.727	0.0
667678.569	0.006
686153.222	0.004
704233.348	0.011
723071.428	0.005
742968.694	0.004
761301.468	0.004
777923.8705	0.004
793659.3805	0.004
809408.72	0.004
825578.023	0.003
843285.969	0.006
861392.583	0.002
878311.8355	0.003
896409.6905	0.003
917758.17	0.003
935006.105	0.008
951624.628	0.003
970975.3825	0.002
985989.6525	0.0
1000703.9715	0.002
1014580.838	0.005
1028280.4335	0.001
1041952.315	0.005
1057418.3145	0.003
1073350.437	0.001
1088791.999	0.001
1105231.909	0.002
1123144.831	0.0
1141418.2235	0.001
1158919.86	0.001
1175544.277	0.001
1193247.24	0.001
1212347.2075	0.002
1234927.1035	0.001
1255565.628	0.002
1274688.161	0.002
1303107.4235	0.002
1326693.224	0.002
1344076.131	0.004
1362781.027	0.003
1389540.5645	0.002
1409463.5185	0.002
1426251.3915	0.002
1444383.547	0.003
1467616.8515	0.002
1489959.1255	0.001
1509113.722	0.006
1525947.7765	0.005
1544443.815	0.002
1560969.8575	0.004
1575628.372	0.003
1590286.7765	0.001
1605784.1675	0.002
1619559.21	0.003
1633316.7455	0.002
1647638.608	0.001
1662909.1145	0.004
1678129.3475	0.002
1693113.4225	0.002
1708101.632	0.001
1723150.1855	0.002
1737094.2045	0.002
1751747.522	0.001
1767630.562	0.001
1782659.763	0.001
1798272.7725	0.002
1813414.7165	0.002
1828606.985	0.001
1844181.526	0.001
1864918.881	0.0
1880931.979	0.002
1895604.937	0.002
1909485.231	0.002
1923861.749	0.002
1938225.153	0.001
1952683.8145	0.004
1966240.329	0.003
1982410.077	0.001
1998268.9885	0.002
2014393.799	0.001
2030989.1595	0.001
2049103.262	0.004
2064848.996	0.003
2079459.0055	0.002
2093476.1085	0.004
2107719.949	0.004
2122618.6505	0.003
2139989.9405	0.001
2158277.213	0.001
2181340.0465	0.0
2197305.05	0.0
2216876.2285	0.0
2236733.6205	0.0
2257253.0325	0.001
2276170.768	0.001
2294484.037	0.0
2315249.715	0.0
2332436.077	0.002
2350816.339	0.004
2373584.1805	0.003
2394053.587	0.004
2417530.056	0.005
2437696.29	0.002
2455004.4925	0.002
2474326.186	0.006
2494425.41	0.004
2513658.9405	0.002
2534652.364	0.003
2557209.132	0.003
2580867.87	0.002
2603100.0905	0.001
2624284.9435	0.001
2641166.9965	0.003
2657694.7595	0.002
2675594.95	0.002
2691725.4175	0.002
2708690.604	0.002
2726182.4435	0.003
2741188.7935	0.002
2756472.936	0.001
2771674.44	0.002
2790280.831	0.001
2812888.853	0.001
2832244.5095	0.005
2850976.298	0.005
2871214.563	0.002
2888844.139	0.003
2905824.022	0.002
2923960.189	0.003
2943466.172	0.0
2959532.783	0.002
2975420.3655	0.001
2991525.1335	0.0
3006713.8145	0.002
3035851.26	0.003
3056433.919	0.002
3073332.4635	0.001
3090422.1965	0.003
3109450.3255	0.002
3125482.2195	0.001
3141649.97	0.001
3161482.962	0.001
3181603.1625	0.001
3200705.123	0.001
3221761.7545	0.001
3247136.6945	0.001
3271199.536	0.002
3297251.414	0.002
3315487.137	0.003
3337531.552	0.004
3359228.4095	0.002
3380892.667	0.006
3401964.436	0.001
3435329.6935	0.001
3454173.0945	0.007
3475199.006	0.001
3496928.418	0.002
3515091.271	0.002
3531524.8465	0.002
3548473.9155	0.001
3564511.6355	0.002
3579510.291	0.002
3595399.3985	0.003
3611460.2825	0.002
3630944.6095	0.002
3649459.819	0.002
3669091.46	0.006
3686050.9405	0.003
3701771.951	0.004
3718153.262	0.002
3734431.5165	0.001
3749936.0625	0.001
3765349.568	0.001
3781069.445	0.0
3798639.7025	0.001
3817092.5555	0.002
3835369.8695	0.004
3852736.023	0.003
3868012.6745	0.008
3883874.3095	0.002
3901138.8675	0.001
3917812.2585	0.002
3933650.9665	0.001
3950194.1425	0.004
3967450.2415	0.003
3987828.4385	0.004
4008629.044	0.005
4028745.343	0.001
4043919.9855	0.004
4058838.0265	0.003
4073686.0885	0.007
4088355.13	0.003
4102529.7195	0.005
4116797.1115	0.004
4130757.8285	0.004
4144479.8225	0.002
4159280.513	0.001
4174255.0665	0.002
4190128.3535	0.003
4205755.7785	0.004
4220609.599	0.002
4236034.336	0.001
4252598.233	0.0
4271708.7575	0.002
4287539.7425	0.001
4301947.617	0.002
4315702.291	0.001
4331596.875	0.003
4346489.961	0.002
4361236.143	0.001
4375816.7145	0.002
4390688.489	0.001
4411725.817	0.002
4427021.5235	0.002
4441322.8355	0.002
4457932.576	0.002
4473688.8025	0.001
4489245.7955	0.001
4507179.254	0.001
4525735.337	0.001
4541981.73	0.004
4556013.0055	0.002
4570314.5975	0.004
4583783.795	0.002
4597374.553	0.003
4611145.123	0.005
4626023.747	0.002
4640999.638	0.001
4657417.165	0.002
4673695.784	0.003
4690061.6415	0.004
4706431.9065	0.002
4722083.103	0.003
4737815.169	0.004
4755248.44	0.002
4773772.3895	0.006
4792992.8945	0.004
4815036.3295	0.004
4830190.0125	0.005
4847687.6065	0.006
4867927.167	0.004
4886287.801	0.008
4902661.65	0.002
4918811.3975	0.002
4934226.9655	0.002
4953712.306	0.002
4969183.854	0.004
4985451.1175	0.001
5000063.8525	0.0
5016155.228	0.005
5032891.1755	0.006
5050289.601	0.009
5068795.8225	0.006
5087350.0985	0.004
5105682.261	0.008
5123407.52	0.004
5138666.9145	0.003
5154208.522	0.001
5168408.263	0.002
5183670.114	0.003
5201373.329	0.003
5218907.773	0.006
5238240.46	0.005
5254694.8425	0.001
5270754.7925	0.002
5288216.4405	0.002
5307911.01	0.004
5326732.833	0.004
5343019.4435	0.006
5359170.176	0.009
5375399.721	0.004
5391896.447	0.004
5407639.646	0.005
5422086.207	0.004
5438268.528	0.003
5452945.866	0.004
5468003.8685	0.003
5482847.8455	0.002
5496770.888	0.004
5510865.001	0.004
5525546.5905	0.003
5538891.381	0.004
5552820.5985	0.004
5566899.081	0.002
5581274.4315	0.004
5596128.5135	0.007
5610490.829	0.006
5625675.5475	0.004
5643275.7135	0.004
5660774.751	0.008
5677167.281	0.006
5692805.5565	0.004
5707203.2765	0.003
5721782.17	0.008
5736823.795	0.01
5752546.4105	0.009
5767900.192	0.007
5783402.9745	0.005
5800626.896	0.006
5825145.457	0.013
5849639.7315	0.008
5870808.1045	0.01
5887607.1705	0.009
5904482.3025	0.002
5921281.905	0.011
5949301.583	0.008
5968403.8105	0.006
5985166.6315	0.008
6002522.135	0.009
6021817.1285	0.014
6039437.762	0.006
6058910.9045	0.012
6075934.8315	0.012
6098259.5095	0.008
6122671.3235	0.004
6141277.942	0.008
6158652.411	0.009
6173777.1465	0.005
6188955.7725	0.009
6206041.69	0.012
6224556.0145	0.006
6241383.151	0.012
6256869.0685	0.009
6274315.363	0.007
6290355.544	0.007
6308749.4835	0.009
6331587.013	0.018
6348298.197	0.019
6365243.2275	0.002
6383834.8605	0.009
6401082.758	0.007
6420426.4145	0.011
6437032.15	0.006
6453700.8405	0.006
6470400.438	0.001
6490382.5585	0.002
6509344.9655	0.004
6527337.487	0.003
6544276.6525	0.004
6560221.7585	0.002
6576865.847	0.004
6591069.4005	0.002
6605104.1825	0.001
6619091.9785	0.003
6632311.4955	0.001
6645492.562	0.008
6658747.375	0.003
6671154.165	0.005
6686506.8575	0.002
6702156.2285	0.006
6714528.597	0.005
6727071.437	0.004
6739026.421	0.006
6750515.801	0.008
6762303.337	0.006
6774430.6085	0.005
6785847.9305	0.006
6796704.8485	0.003
6807390.364	0.004
6818296.511	0.002
6829474.086	0.004
6840385.636	0.005
6851879.565	0.002
6863138.889	0.005
6873820.469	0.003
6884842.5675	0.005
6897061.521	0.003
6914582.726	0.0
6936779.4265	0.001
6949791.9015	0.002
6962508.907	0.003
6976019.242	0.005
6989001.547	0.001
7000355.073	0.003
7013026.655	0.003
7025213.2215	0.003
7037971.426	0.002
7073637.371	0.002
7094179.8295	0.005
7107188.8805	0.003
7120926.341	0.004
7134390.6025	0.004
7149442.0955	0.007
7164051.7425	0.005
7180135.66	0.004
7194921.6305	0.002
7210971.6195	0.003
7225367.523	0.002
7239274.4615	0.001
7252934.2925	0.001
7266694.8165	0.001
7281814.988	0.003
7295469.2775	0.003
7308115.084	0.003
7320665.2365	0.002
7332718.068	0.001
7345798.14	0.002
7358413.0185	0.002
7370825.561	0.001
7383344.195	0.003
7394965.42	0.003
7408157.675	0.003
7433367.5675	0.001
7452330.8235	0.004
7466522.7185	0.004
7480985.208	0.005
7496482.391	0.006
7513576.0025	0.004
7528202.4175	0.004
7543254.551	0.004
7564407.6705	0.002
7582510.5125	0.002
7601912.131	0.001
7620782.672	0.001
7635804.931	0.002
7649598.037	0.004
7663514.0925	0.006
7678488.651	0.004
7693557.2445	0.007
7708511.703	0.006
7723025.528	0.009
7738174.917	0.01
7752713.4475	0.008
7773575.5485	0.001
7826271.799	0.001
7884531.333	0.001
7910099.181	0.002
7928044.2415	0.004
7943856.9135	0.002
7966794.106	0.001
8011167.1165	0.004
8032096.6185	0.002
8046257.062	0.004
8061763.269	0.003
8081489.7425	0.003
8103130.0435	0.004
8120496.1515	0.002
