midpoint	h12
16222.9865	0.02
53579.2925	0.032
90006.3915	0.022
121238.675	0.027
155624.1525	0.027
193797.423	0.027
227413.0695	0.033
257960.1705	0.029
290978.697	0.047
321162.102	0.022
349557.493	0.027
383601.6335	0.037
409887.2205	0.029
441065.176	0.035
469407.6645	0.035
498226.9465	0.026
526974.27	0.024
551373.0845	0.021
571147.8835	0.029
591459.942	0.023
610288.3085	0.028
629011.6625	0.023
647653.727	0.02
667678.569	0.021
686153.222	0.021
704233.348	0.023
723071.428	0.02
742968.694	0.018
761301.468	0.021
777923.8705	0.024
793659.3805	0.021
809408.72	0.021
825578.023	0.022
843285.969	0.02
861392.583	0.02
878311.8355	0.021
896409.6905	0.022
917758.17	0.021
935006.105	0.021
951624.628	0.023
970975.3825	0.018
985989.6525	0.023
1000703.9715	0.021
1014580.838	0.028
1028280.4335	0.022
1041952.315	0.021
1057418.3145	0.029
1073350.437	0.021
1088791.999	0.021
1105231.909	0.023
1123144.831	0.02
1141418.2235	0.02
1158919.86	0.021
1175544.277	0.028
1193247.24	0.021
1212347.2075	0.018
1234927.1035	0.02
1255565.628	0.018
1274688.161	0.02
1303107.4235	0.021
1326693.224	0.018
1344076.131	0.025
1362781.027	0.026
1389540.5645	0.022
1409463.5185	0.022
1426251.3915	0.021
1444383.547	0.022
1467616.8515	0.027
1489959.1255	0.026
1509113.722	0.025
1525947.7765	0.033
1544443.815	0.033
1560969.8575	0.043
1575628.372	0.031
1590286.7765	0.021
1605784.1675	0.023
1619559.21	0.025
1633316.7455	0.021
1647638.608	0.021
1662909.1145	0.022
1678129.3475	0.022
1693113.4225	0.022
1708101.632	0.022
1723150.1855	0.021
1737094.2045	0.024
1751747.522	0.021
1767630.562	0.017
1782659.763	0.02
1798272.7725	0.018
1813414.7165	0.021
1828606.985	0.022
1844181.526	0.02
1864918.881	0.017
1880931.979	0.02
1895604.937	0.026
1909485.231	0.023
1923861.749	0.029
1938225.153	0.03
1952683.8145	0.029
1966240.329	0.023
1982410.077	0.021
1998268.9885	0.025
2014393.799	0.027
2030989.1595	0.023
2049103.262	0.027
2064848.996	0.021
2079459.0055	0.024
2093476.1085	0.021
2107719.949	0.022
2122618.6505	0.02
2139989.9405	0.02
2158277.213	0.018
2181340.0465	0.017
2197305.05	0.017
2216876.2285	0.018
2236733.6205	0.017
2257253.0325	0.017
2276170.768	0.018
2294484.037	0.017
2315249.715	0.017
2332436.077	0.024
2350816.339	0.022
2373584.1805	0.027
2394053.587	0.021
2417530.056	0.026
2437696.29	0.018
2455004.4925	0.017
2474326.186	0.025
2494425.41	0.022
2513658.9405	0.021
2534652.364	0.022
2557209.132	0.023
2580867.87	0.021
2603100.0905	0.018
2624284.9435	0.018
2641166.9965	0.021
2657694.7595	0.017
2675594.95	0.022
2691725.4175	0.027
2708690.604	0.023
2726182.4435	0.021
2741188.7935	0.026
2756472.936	0.022
2771674.44	0.026
2790280.831	0.027
2812888.853	0.023
2832244.5095	0.029
2850976.298	0.022
2871214.563	0.026
2888844.139	0.02
2905824.022	0.023
2923960.189	0.03
2943466.172	0.022
2959532.783	0.02
2975420.3655	0.018
2991525.1335	0.02
3006713.8145	0.023
3035851.26	0.023
3056433.919	0.023
3073332.4635	0.031
3090422.1965	0.033
3109450.3255	0.02
3125482.2195	0.018
3141649.97	0.018
3161482.962	0.017
3181603.1625	0.022
3200705.123	0.022
3221761.7545	0.021
3247136.6945	0.031
3271199.536	0.024
3297251.414	0.037
3315487.137	0.028
3337531.552	0.026
3359228.4095	0.023
3380892.667	0.026
3401964.436	0.02
3435329.6935	0.024
3454173.0945	0.03
3475199.006	0.024
3496928.418	0.029
3515091.271	0.028
3531524.8465	0.026
3548473.9155	0.026
3564511.6355	0.026
3579510.291	0.027
3595399.3985	0.022
3611460.2825	0.025
3630944.6095	0.023
3649459.819	0.025
3669091.46	0.033
3686050.9405	0.027
3701771.951	0.022
3718153.262	0.022
3734431.5165	0.024
3749936.0625	0.025
3765349.568	0.022
3781069.445	0.024
3798639.7025	0.018
3817092.5555	0.02
3835369.8695	0.026
3852736.023	0.027
3868012.6745	0.047
3883874.3095	0.042
3901138.8675	0.033
3917812.2585	0.048
3933650.9665	0.03
3950194.1425	0.041
3967450.2415	0.057
3987828.4385	0.035
4008629.044	0.044
4028745.343	0.029
4043919.9855	0.033
4058838.0265	0.034
4073686.0885	0.027
4088355.13	0.027
4102529.7195	0.028
4116797.1115	0.023
4130757.8285	0.02
4144479.8225	0.018
4159280.513	0.02
4174255.0665	0.021
4190128.3535	0.022
4205755.7785	0.022
4220609.599	0.025
4236034.336	0.017
4252598.233	0.017
4271708.7575	0.022
4287539.7425	0.018
4301947.617	0.02
4315702.291	0.021
