midpoint	h12
36704.4335	0.017
88320.4285	0.017
128749.1315	0.017
166641.338	0.017
199762.466	0.018
239635.4215	0.017
271517.762	0.018
304754.155	0.017
343464.5085	0.017
387451.232	0.02
426880.4415	0.017
465735.987	0.017
499743.329	0.017
535735.6095	0.017
575803.6535	0.018
620356.7735	0.02
663855.852	0.017
699178.9295	0.017
734457.365	0.018
767090.698	0.02
796999.0625	0.017
830008.253	0.017
862963.0605	0.018
898593.0365	0.017
938762.475	0.017
986157.5155	0.017
1032999.0805	0.017
1074324.7025	0.018
1118489.1535	0.018
1158864.295	0.02
1194810.4135	0.017
1235261.29	0.017
1277326.0355	0.018
1316748.3045	0.017
1362646.233	0.017
1409537.8745	0.017
1444248.0785	0.017
1480700.797	0.017
1515143.353	0.017
1550870.415	0.02
1594692.541	0.017
1639932.378	0.017
1675049.9395	0.023
1705168.309	0.018
1740661.345	0.017
1773926.7775	0.02
1811898.191	0.018
1866549.493	0.017
1906210.5265	0.018
1939297.604	0.018
1974352.709	0.022
2007903.126	0.02
2043546.9105	0.017
2083539.3545	0.017
2123618.847	0.02
2159939.8195	0.026
2197117.343	0.018
2236750.1525	0.018
2275161.8185	0.018
2309362.2925	0.02
2343840.294	0.023
2376228.4265	0.018
2404859.0895	0.021
2430293.0255	0.033
2456360.59	0.03
2487019.9605	0.02
2514486.967	0.043
2539837.4275	0.021
2568534.384	0.02
2603442.5675	0.018
2634267.687	0.021
2662679.789	0.021
2689095.5385	0.021
2716707.9045	0.023
2745063.588	0.027
2776177.3745	0.02
2814504.197	0.024
2847543.103	0.024
2878099.5255	0.023
2917419.1325	0.021
2960293.098	0.033
2997241.393	0.021
3039264.65	0.018
3090770.081	0.02
3123132.3765	0.026
3155998.335	0.023
3190339.3215	0.029
3225960.313	0.027
3259647.8785	0.032
3328232.784	0.017
3388153.5645	0.017
3424481.1525	0.017
3463561.8105	0.018
3499123.132	0.017
3534718.615	0.017
3568174.925	0.017
3601440.0575	0.017
3642915.667	0.017
3684136.291	0.017
3721734.0445	0.017
3753808.1295	0.018
3786962.7285	0.017
3824120.1195	0.017
3859804.418	0.017
3895826.5235	0.017
3931319.301	0.017
3970725.1165	0.017
4012949.8145	0.017
4051117.716	0.017
4091990.3615	0.017
4124205.553	0.017
4160645.465	0.017
4194287.2835	0.017
4221884.7	0.017
4250111.617	0.017
4281259.8075	0.017
4313677.7895	0.017
4346185.7155	0.017
4378165.495	0.017
4415695.8835	0.017
4457039.615	0.017
4495750.8385	0.017
4534558.7755	0.017
4572062.8425	0.018
4608999.082	0.018
4648144.4845	0.017
4693143.1	0.017
4733523.3705	0.017
4767414.791	0.018
4808678.5535	0.017
4849700.03	0.017
4886208.222	0.017
4924588.246	0.018
4960884.6365	0.017
4998166.0945	0.018
5033064.9285	0.02
5071164.43	0.017
5107372.9835	0.017
5144354.7885	0.017
5178191.3705	0.017
5210516.737	0.017
5243189.9475	0.018
5275839.751	0.017
5311828.9825	0.017
5350963.306	0.02
5382807.306	0.017
5417887.401	0.017
5462231.0695	0.017
5507490.058	0.018
5552863.722	0.018
5587377.7175	0.017
5622982.447	0.017
5658066.699	0.017
5698557.926	0.018
5739519.611	0.018
5782242.518	0.017
5821837.4915	0.018
5856757.8355	0.022
5900282.797	0.017
5934275.1095	0.023
5965920.806	0.017
5999427.6565	0.02
6036985.317	0.018
