midpoint	h12
17790.833	0.022
55486.9995	0.029
95649.674	0.022
128591.195	0.024
161071.423	0.038
196036.692	0.026
231009.4475	0.041
266470.902	0.021
298308.6785	0.029
332848.362	0.02
367995.5515	0.022
393685.2005	0.031
415605.6395	0.035
440243.0155	0.027
465456.182	0.027
488817.3735	0.027
510973.551	0.025
534188.508	0.028
562137.3065	0.033
593584.2285	0.027
619447.1975	0.039
649417.775	0.036
678726.0525	0.022
705220.1565	0.021
731055.3415	0.021
750577.413	0.02
768923.268	0.021
787210.722	0.026
805164.155	0.022
822344.477	0.023
843696.515	0.02
868093.337	0.017
884065.355	0.018
900007.731	0.021
914928.7805	0.023
929221.9065	0.021
943145.5975	0.02
956826.6035	0.018
970849.7805	0.021
986331.6225	0.02
1001455.006	0.017
1016151.401	0.02
1031018.17	0.018
1046061.6685	0.017
1059905.558	0.02
1074138.722	0.02
1087456.3455	0.018
1101891.5165	0.02
1116488.761	0.02
1131574.3525	0.018
1147628.002	0.02
1165158.271	0.017
1179910.7895	0.017
1195096.495	0.02
1210027.895	0.021
1234448.03	0.02
1258868.714	0.02
1276340.0495	0.021
1294185.258	0.021
1308626.0045	0.02
1322155.076	0.017
1335232.09	0.018
1349288.1895	0.018
1366313.0985	0.02
1380392.697	0.022
1392476.935	0.017
1405666.648	0.023
1418955.14	0.022
1432882.747	0.02
1447147.8245	0.025
1462166.6225	0.021
1477264.2005	0.02
1492553.953	0.02
1509331.5885	0.02
1525350.451	0.023
1540490.988	0.022
1554992.6605	0.021
1573402.9095	0.021
1592751.06	0.017
1611696.237	0.021
1637481.1165	0.03
1659237.506	0.02
1675909.9825	0.02
1693034.55	0.017
1709895.153	0.02
1726194.9835	0.021
1749213.7595	0.02
1769413.4535	0.017
1786246.92	0.021
1803046.603	0.021
1819588.931	0.018
1832729.629	0.021
1847740.7255	0.021
1862434.321	0.02
1876460.801	0.021
1891049.068	0.017
1905746.248	0.018
1919541.0415	0.021
1933441.173	0.017
1951242.068	0.02
1969341.388	0.017
1983474.8005	0.022
1996693.6385	0.023
2011045.8245	0.021
2026857.2575	0.023
2045887.429	0.021
2065074.724	0.023
2081371.8505	0.021
2099393.8985	0.02
2119107.733	0.021
2137997.011	0.021
2156028.667	0.022
2174014.828	0.021
2193833.3195	0.017
2212331.145	0.018
2230277.4665	0.022
2244791.281	0.022
2260403.236	0.026
2276830.801	0.022
2292928.7055	0.022
2308877.489	0.022
2323992.877	0.025
2338870.1935	0.017
2353159.709	0.02
2367984.4595	0.021
2382795.635	0.02
2397087.154	0.022
2411753.196	0.018
2426360.814	0.023
2441193.9025	0.027
2456330.167	0.021
2473501.3845	0.02
2494852.9145	0.021
2512183.38	0.026
2527453.5855	0.023
2543649.7615	0.027
2559912.556	0.022
2575380.6885	0.02
2591044.4855	0.026
2607163.3725	0.023
2623806.8135	0.018
2642429.225	0.022
2661683.144	0.021
2677188.2955	0.018
2691355.4565	0.022
2706528.231	0.024
2723660.5615	0.021
2739382.923	0.021
2753867.256	0.023
2768704.4375	0.023
2784673.272	0.02
2801476.1775	0.02
2818131.221	0.022
2832938.6625	0.023
