sample.set,chrom,start,end
Moshi.arabiensis.Delta,2L,25672339,25696697
Moshi.arabiensis.Delta,2L,25696700,25717377
Moshi.arabiensis.Delta,2L,28491089,28539993
Moshi.arabiensis.Delta,2L,36821514,36840225
Moshi.arabiensis.Delta,2R,13076762,13095560
Moshi.arabiensis.Delta,2R,28359795,28408813
Moshi.arabiensis.Delta,2R,28536270,28600078
Moshi.arabiensis.Delta,2R,28600259,28641710
Moshi.arabiensis.Delta,2R,28641757,28682974
Moshi.arabiensis.Delta,2R,31668417,31692420
Moshi.arabiensis.Delta,2R,40837427,40860723
Moshi.arabiensis.Delta,2R,40860733,40911191
Moshi.arabiensis.Delta,2R,50263610,50293889
Moshi.arabiensis.Delta,2R,55081464,55133271
Moshi.arabiensis.Delta,3R,20645960,20667361
Moshi.arabiensis.Delta,3R,35140987,35157094
Moshi.arabiensis.PM,2L,37438592,37459806
Moshi.arabiensis.PM,2R,24328138,24348200
Moshi.arabiensis.PM,2R,28505989,28558454
Moshi.arabiensis.PM,2R,30424638,30443371
Moshi.arabiensis.PM,2R,30824036,30857232
Moshi.arabiensis.PM,2R,30901706,30917448
Moshi.arabiensis.PM,2R,30917456,30933853
Moshi.arabiensis.PM,2R,30959530,30985231
Moshi.arabiensis.PM,2R,31226324,31255102
Moshi.arabiensis.PM,2R,31281976,31304177
Moshi.arabiensis.PM,3R,50230184,50267044
Muleba.arabiensis.Delta,2R,19667088,19684387
Muleba.arabiensis.Delta,2R,19684399,19701136
Muleba.arabiensis.Delta,2R,19701137,19718163
Muleba.arabiensis.Delta,2R,19718170,19731483
Muleba.arabiensis.Delta,2R,19731498,19755187
Muleba.arabiensis.Delta,2R,19788147,19800278
Muleba.arabiensis.Delta,2R,19831140,19845903
Muleba.arabiensis.Delta,2R,19845907,19859545
Muleba.arabiensis.Delta,2R,19859546,19873709
Muleba.arabiensis.Delta,2R,19908263,19921835
Muleba.arabiensis.Delta,2R,19970330,19984862
Muleba.arabiensis.Delta,2R,20001500,20019478
Muleba.arabiensis.Delta,2R,20316806,20335615
Muleba.arabiensis.Delta,2R,20924323,20943685
Muleba.arabiensis.Delta,2R,21746167,21761170
Muleba.arabiensis.Delta,2R,26904965,26924763
Muleba.arabiensis.Delta,2R,27019778,27038922
Muleba.arabiensis.Delta,2R,27062234,27079873
Muleba.arabiensis.Delta,2R,27094289,27108850
Muleba.arabiensis.Delta,2R,27108883,27124790
Muleba.arabiensis.Delta,2R,27124804,27143937
Muleba.arabiensis.Delta,2R,27179488,27195375
Muleba.arabiensis.Delta,2R,27195385,27210616
Muleba.arabiensis.Delta,2R,27210625,27226838
Muleba.arabiensis.Delta,2R,27376764,27394480
Muleba.arabiensis.Delta,2R,27850986,27882781
Muleba.arabiensis.Delta,2R,27958452,27982899
Muleba.arabiensis.Delta,2R,28025777,28047960
Muleba.arabiensis.Delta,2R,28047994,28079423
Muleba.arabiensis.Delta,2R,28110142,28156090
Muleba.arabiensis.Delta,2R,28184745,28219328
Muleba.arabiensis.Delta,2R,28219334,28245021
Muleba.arabiensis.Delta,2R,28320696,28350605
Muleba.arabiensis.Delta,2R,28350668,28384716
Muleba.arabiensis.Delta,2R,28416418,28465767
Muleba.arabiensis.Delta,3R,43628832,43653188
