seqid	start	end	gene.id	gene.name	attributes
2R	18940109	18940849	AGAP028403	AGAP028403	ID=AGAP028403;description=unspecified product
2R	19024374	19026695	AGAP002299	AGAP002299	ID=AGAP002299;description=XK-related protein [Source:UniProtKB/TrEMBL%3BAcc:Q7QBT4]
2R	19027548	19040586	AGAP002300	AGAP002300	ID=AGAP002300;description=exosome complex exonuclease
2R	19034299	19035939	AGAP013395	AGAP013395	ID=AGAP013395;description=unspecified product
2R	19035950	19036794	AGAP002301	AGAP002301	ID=AGAP002301;description=bud site selection protein 31
2R	19040585	19041837	AGAP002302	AGAP002302	ID=AGAP002302;description=crossover junction endonuclease
2R	19042152	19052586	AGAP029581	AGAP029581	ID=AGAP029581;description=BTB domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A453Z0G1]
2R	19052891	19053747	AGAP002305	AGAP002305	ID=AGAP002305;description=pre-mRNA-splicing factor
2R	19054063	19056302	AGAP002306	Rpl4	ID=AGAP002306;Name=RpL4;description=60S ribosomal protein L4
2R	19057692	19058903	AGAP002307	AGAP002307	ID=AGAP002307;description=pre-mRNA-splicing factor 18
2R	19059011	19060311	AGAP002308	AGAP002308	ID=AGAP002308;description=Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL%3BAcc:Q7QBU0]
2R	19060612	19073357	AGAP002309	Wdy	ID=AGAP002309;Name=WDY;description=WD repeat-containing protein on Y chromosome [Source:UniProtKB/Swiss-Prot%3BAcc:Q5TTP0]
2R	19073419	19135416	AGAP002310	AGAP002310	ID=AGAP002310;description=protocadherin-15
2R	19225564	19227118	AGAP002312	AGAP002312	ID=AGAP002312;description=unspecified product
2R	19227606	19229860	AGAP002313	AGAP002313	ID=AGAP002313;description=unspecified product
2R	19229445	19230679	AGAP002314	AGAP002314	ID=AGAP002314;description=unspecified product
2R	19231025	19483421	AGAP002315	Apg16l	ID=AGAP002315;Name=APG16L;description=autophagy related gene
2R	19235646	19265831	AGAP002316	AGAP002316	ID=AGAP002316;description=unspecified product
2R	19444357	19446105	AGAP002317	Alpha_amylase	ID=AGAP002317;Name=Alpha_amylase;description=amylase
2R	19449770	19451260	AGAP002318	AGAP002318	ID=AGAP002318;description=Alpha-amylase [Source:UniProtKB/TrEMBL%3BAcc:Q7QBU5]
2R	19483679	19484648	AGAP002320	AGAP002320	ID=AGAP002320;description=isochorismatase domain-containing protein
2R	19518880	19535974	AGAP002321	AGAP002321	ID=AGAP002321;description=GLTSCR1 domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4GEL0]
2R	19538313	19541380	AGAP002322	AGAP002322	ID=AGAP002322;description=unspecified product
2R	19547045	19553216	AGAP002323	AGAP002323	ID=AGAP002323;description=unspecified product
2R	19567983	19574991	AGAP002324	AGAP002324	ID=AGAP002324;description=mitochondrial sodium/hydrogen exchanger NHA2
2R	19608477	19658751	AGAP002325	AGAP002325	ID=AGAP002325;description=unspecified product
2R	19723884	19724691	AGAP002326	AGAP002326	ID=AGAP002326;description=unspecified product
2R	19890611	19892029	AGAP012947	AGAP012947	ID=AGAP012947;description=unspecified product
2R	19895009	19898969	AGAP002327	AGAP002327	ID=AGAP002327;description=glucosyl/glucuronosyl transferases
2R	19896041	19897138	AGAP002328	AGAP002328	ID=AGAP002328;description=unspecified product
2R	19915255	19916259	AGAP013459	AGAP013459	ID=AGAP013459;description=unspecified product
2R	19916950	19917597	AGAP013245	AGAP013245	ID=AGAP013245;description=unspecified product
2R	19937425	19938395	AGAP028474	AGAP028474	ID=AGAP028474;description=unspecified product
2R	19938947	19939523	AGAP028475	AGAP028475	ID=AGAP028475;description=unspecified product
2R	19939687	19940518	AGAP028476	AGAP028476	ID=AGAP028476;description=unspecified product
2R	19945134	19946693	AGAP013453	AGAP013453	ID=AGAP013453;description=unspecified product
2R	19947532	19951883	AGAP002329	AGAP002329	ID=AGAP002329;description=carnitine O-octanoyltransferase
2R	19949335	19950027	AGAP013359	AGAP013359	ID=AGAP013359;description=unspecified product
2R	19952079	19952840	AGAP002330	AGAP002330	ID=AGAP002330;description=60S ribosome subunit biogenesis protein NIP7 homolog [Source:UniProtKB/TrEMBL%3BAcc:Q7QBV7]
2R	19953561	19971235	AGAP002331	Esp	ID=AGAP002331;Name=ESP;description=sodium-independent sulfate anion transporter
2R	19974032	19974823	AGAP002332	Mrpl11	ID=AGAP002332;Name=mRpL11;description=39S ribosomal protein L11%2C mitochondrial
2R	19974751	19975789	AGAP002333	AGAP002333	ID=AGAP002333;description=unspecified product
2R	19976891	19995731	AGAP002334	Spas	ID=AGAP002334;Name=spas;description=spastin
2R	19996792	20007544	AGAP002335	AGAP002335	ID=AGAP002335;description=nucleolysin TIA-1/TIAR
2R	20090014	20223626	AGAP002336	AGAP002336	ID=AGAP002336;description=Ig-like domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4GEM5]
2R	20274998	20277322	AGAP002337	Eif3d	ID=AGAP002337;Name=eIF3d;description=Eukaryotic translation initiation factor 3 subunit D [Source:UniProtKB/Swiss-Prot%3BAcc:Q7QBW3]
2R	20277667	20278503	AGAP002338	Vps29	ID=AGAP002338;Name=Vps29;description=vacuolar protein sorting 29
2R	20278838	20279921	AGAP002339	AGAP002339	ID=AGAP002339;description=AN1-type zinc finger protein 2B
2R	20284397	20288304	AGAP002340	Eif3a	ID=AGAP002340;Name=eIF3a;description=Eukaryotic translation initiation factor 3 subunit A [Source:UniProtKB/Swiss-Prot%3BAcc:Q7PGE8]
2R	20288825	20290349	AGAP002341	AGAP002341	ID=AGAP002341;description=unspecified product
2R	20376396	20408440	AGAP002342	AGAP002342	ID=AGAP002342;description=unspecified product
2R	20485773	20499466	AGAP002344	AGAP002344	ID=AGAP002344;description=brain tumor protein
2R	20499829	20502598	AGAP002345	AGAP002345	ID=AGAP002345;description=anaphase-promoting complex subunit 4
2R	20502709	20503435	AGAP002346	Rps14-2	ID=AGAP002346;Name=RpS14-2;description=40S ribosomal protein S14b [Source:UniProtKB/Swiss-Prot%3BAcc:Q7QBX2]
2R	20503869	20505783	AGAP002347	AGAP002347	ID=AGAP002347;description=N-acetylglucosamine-6-phosphate deacetylase [Source:UniProtKB/TrEMBL%3BAcc:Q7QBX3]
2R	20506394	20507830	AGAP002348	AGAP002348	ID=AGAP002348;description=exosome complex component RRP45
2R	20508179	20510182	AGAP002349	Pbd1	ID=AGAP002349;Name=PBD1;description=piggyBac-derived 1
2R	20517932	20530180	AGAP002350	AGAP002350	ID=AGAP002350;description=troponin T%2C fast skeletal muscle
2R	20530881	20538272	AGAP002351	AGAP002351	ID=AGAP002351;description=nuclear pore complex protein Nup98-Nup96
2R	20538788	20546515	AGAP002352	AGAP002352	ID=AGAP002352;description=unspecified product
2R	20547215	20548780	AGAP002353	AGAP002353	ID=AGAP002353;description=lipase
2R	20549408	20580273	AGAP002354	AGAP002354	ID=AGAP002354;description=EVI5-like protein
2R	20583976	20591576	AGAP002355	AGAP002355	ID=AGAP002355;description=Glutamine synthetase [Source:UniProtKB/TrEMBL%3BAcc:Q7QBX9]
2R	20592831	20594830	AGAP002356	AGAP002356	ID=AGAP002356;description=parvin%2C beta
2R	20595150	20596781	AGAP002357	AGAP002357	ID=AGAP002357;description=vesicle transport protein GOT1B
2R	20597739	20600249	AGAP002358	AGAP002358	ID=AGAP002358;description=ADP%2CATP carrier protein 2 [Source:UniProtKB/Swiss-Prot%3BAcc:Q7PQV7]
2R	20604485	20608709	AGAP002359	AGAP002359	ID=AGAP002359;description=carbonic anhydrase
2R	20614585	20616389	AGAP013402	AGAP013402	ID=AGAP013402;description=carbonic anhydrase I
2R	20617383	20618411	AGAP002360	AGAP002360	ID=AGAP002360;description=carbonic anhydrase III
